playername,points,cost,ppd
Robert Turbin IND ,2.2,3300,66.66666666666667
Ka'Deem Carey CHI ,2.1,3000,70.0
Fitzgerald Toussaint PIT ,2.1,3000,70.0
Mike Gillislee BUF ,2.1,4500,46.666666666666664
Darren McFadden DAL ,2.0,4900,40.816326530612244
Brandon Bolden NE ,1.8,3800,47.36842105263158
Denard Robinson JAC ,1.4,5400,25.925925925925927
Orleans Darkwa NYG ,1.2,3300,36.36363636363636
Ronnie Hillman ,1.1,4200,26.19047619047619
Matt Asiata MIN ,1.1,3000,36.666666666666664
Jordan Todman IND ,1.0,3000,33.333333333333336
Cedric Peerman CIN ,1.0,3000,33.333333333333336
Fozzy Whittaker CAR ,0.9,3600,25.0
Jonathan Grimes HOU ,0.9,3000,30.000000000000004
Antonio Andrews TEN ,0.8,3700,21.621621621621625
Terron Ward ATL ,0.8,3000,26.666666666666668
Kyle Juszczyk BAL ,0.8,3000,26.666666666666668
Stepfan Taylor ARI ,0.7,3000,23.333333333333332
Chase Reynolds LA ,0.7,3000,23.333333333333332
Andre Williams SD ,0.6,3000,20.0
Rex Burkhead CIN ,0.6,3000,20.0
Patrick DiMarco ATL ,0.6,3000,20.0
Raheem Mostert ,0.5,3000,16.666666666666668
Rod Smith DAL ,0.5,3000,16.666666666666668
Daryl Richardson PIT ,0.5,3000,16.666666666666668
Michael Burton DET ,0.5,3000,16.666666666666668
Bruce Miller SF ,0.4,3000,13.333333333333334
Bobby Rainey NYG ,0.4,3000,13.333333333333334
Aaron Ripkowski GB ,0.4,3000,13.333333333333334
Will Johnson NYG ,0.4,3000,13.333333333333334
Jalston Fowler TEN ,0.4,3000,13.333333333333334
Jay Prosch HOU ,0.4,3000,13.333333333333334
Austin Johnson NO ,0.3,3000,10.0
Travaris Cadet ,0.3,3000,10.0
Ryan Hewitt CIN ,0.3,2500,11.999999999999998
Glenn Winston CLE ,0.3,3000,10.0
Anthony Sherman KC ,0.3,3000,10.0
Knile Davis KC ,0.3,3000,10.0
Zach Line MIN ,0.3,3000,10.0
Damien Williams MIA ,0.2,3000,6.666666666666667
David Cobb ,0.2,3000,6.666666666666667
John Crockett GB ,0.1,3000,3.3333333333333335
Stevan Ridley ,0.1,3000,3.3333333333333335
Juwan Thompson DEN ,0.0,3000,0.0
Jerome Felton ,0.0,3000,0.0
Akeem Hunt HOU ,0.0,3000,0.0
Kerwynn Williams ,0.0,3000,0.0
Tre Mason LA ,0.0,3000,0.0
Julio Jones ATL ,15.3,8300,184.33734939759037
Odell Beckham Jr. NYG ,13.8,9200,150.0
DeAndre Hopkins HOU ,13.1,8400,155.95238095238093
A.J. Green CIN ,11.3,7100,159.1549295774648
Dez Bryant DAL ,11.2,5500,203.6363636363636
T.Y. Hilton IND ,11.0,5800,189.6551724137931
Mike Evans TB ,10.9,7300,149.31506849315068
Brandon Marshall NYJ ,10.9,7600,143.42105263157896
Allen Robinson JAC ,10.6,7500,141.33333333333331
Randall Cobb GB ,10.4,6100,170.49180327868854
Brandin Cooks NO ,10.4,5900,176.27118644067798
Sammy Watkins BUF ,10.2,6700,152.23880597014923
Alshon Jeffery CHI ,9.9,7200,137.5
Eric Decker NYJ ,9.8,6500,150.76923076923077
Jeremy Maclin KC ,9.8,6000,163.33333333333334
Jarvis Landry MIA ,9.3,6400,145.31250000000003
Doug Baldwin SEA ,9.2,6700,137.3134328358209
Donte Moncrief IND ,9.1,4300,211.62790697674419
Golden Tate DET ,9.0,5800,155.17241379310343
Demaryius Thomas DEN ,9.0,6800,132.35294117647058
Larry Fitzgerald ARI ,8.9,7100,125.35211267605635
Michael Floyd ARI ,8.9,4900,181.6326530612245
John Brown ARI ,8.4,5300,158.49056603773587
Julian Edelman NE ,8.0,7000,114.28571428571429
Allen Hurns JAC ,8.0,5300,150.94339622641508
Marvin Jones DET ,7.8,3700,210.8108108108108
Emmanuel Sanders DEN ,7.6,5800,131.03448275862067
Willie Snead NO ,7.5,4500,166.66666666666669
Tyler Lockett SEA ,7.4,4500,164.44444444444446
Torrey Smith SF ,7.3,3200,228.12499999999997
Tavon Austin LA ,7.3,4200,173.8095238095238
Stefon Diggs MIN ,7.2,4400,163.63636363636363
Vincent Jackson TB ,7.2,4500,160.0
Rishard Matthews TEN ,7.0,3700,189.1891891891892
Markus Wheaton PIT ,6.8,4100,165.85365853658536
Phillip Dorsett IND ,6.5,3000,216.66666666666666
Travis Benjamin SD ,6.4,4300,148.8372093023256
Devin Funchess CAR ,6.3,3400,185.2941176470588
Mohamed Sanu ATL ,5.9,3000,196.66666666666669
Terrance Williams DAL ,5.9,3300,178.78787878787878
Kamar Aiken BAL ,5.8,5400,107.4074074074074
Mike Wallace BAL ,5.2,3400,152.94117647058823
Robert Woods BUF ,5.1,3500,145.7142857142857
Kenny Britt LA ,5.0,3500,142.85714285714286
Jermaine Kearse SEA ,5.0,3200,156.25
Brandon LaFell CIN ,4.6,4500,102.22222222222221
Kendall Wright TEN ,4.3,4000,107.5
Anquan Boldin DET ,4.1,3700,110.81081081081079
Kenny Stills MIA ,3.9,3200,121.875
Justin Hardy ATL ,3.7,3000,123.33333333333334
Dorial Green-Beckham PHI ,3.7,4000,92.5
Sammie Coates PIT ,3.7,3000,123.33333333333334
Chris Conley KC ,3.5,3000,116.66666666666667
Terrelle Pryor CLE ,3.4,3000,113.33333333333331
Davante Adams GB ,3.4,3600,94.44444444444444
Cole Beasley DAL ,3.3,3200,103.125
Eddie Royal CHI ,3.2,3200,100.0
Quinton Patton SF ,3.1,3200,96.875
Jaelen Strong HOU ,3.0,3000,100.0
Albert Wilson KC ,2.9,3600,80.55555555555556
Charles Johnson MIN ,2.8,3000,93.33333333333333
Jarius Wright MIN ,2.7,3000,90.00000000000001
Danny Amendola NE ,2.7,5600,48.21428571428572
Chris Hogan NE ,2.6,3000,86.66666666666667
De'Anthony Thomas KC ,2.4,3000,80.0
Jeremy Kerley SF ,2.4,3000,80.0
Dwayne Harris NYG ,2.3,3000,76.66666666666666
Brandon Coleman NO ,2.3,3500,65.71428571428571
Rashad Greene JAC ,2.3,3000,76.66666666666666
Andrew Hawkins CLE ,2.2,3000,73.33333333333333
J.J. Nelson ARI ,2.2,3000,73.33333333333333
Marqise Lee JAC ,2.1,3000,70.0
Bennie Fowler DEN ,1.9,3000,63.33333333333333
Brice Butler DAL ,1.9,3000,63.33333333333333
Quincy Enunwa NYJ ,1.9,3000,63.33333333333333
Rueben Randle ,1.8,3500,51.42857142857143
Darrius Heyward-Bey PIT ,1.7,3000,56.66666666666666
Andre Johnson TEN ,1.7,3400,50.0
Harry Douglas TEN ,1.5,3300,45.45454545454545
Brian Quick LA ,1.4,3000,46.666666666666664
Ty Montgomery GB ,1.3,3000,43.333333333333336
TJ Jones DET ,1.3,3000,43.333333333333336
