playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"1681","null","Tyvon Branch","DB","KC","DB","KC","-29.0111","95.0583","null","null","261","25","null","0.6843","182","-79","1.5","107.7222","76.5862","5.6911","22",
"100016","null","Chiefs","DST","KC","DST","KC","-29.0822","169.0584","null","255","262","5","null","47.8088","134.685","-127.315","0.5","172.1076","86.5","2.8774","null",
"71353","null","Rashad Johnson","DB","ARI","DB","ARI","-29.0962","94.9732","null","null","263","26","null","1.4169","146.25","-116.75","1","98.9499","90","4.1136","55",
"2495140","null","Adrian Clayborn","DL","ATL","DL","ATL","-29.1316","52.4183","null","null","264","40","null","0.3208","148.75","-115.25","1","57.2376","45.15","2.9907","null",
"2543495","null","Davante Adams","WR","GB","WR","GB","-29.2134","92.862","null","118","265","58","null","0.3503","120.1717","-144.8283","3.675","116.4465","69.3788","3.3967","30",
"768","null","Steve Johnson","WR","SD","WR","SD","-29.3001","92.7752","null","129","266","59","null","0.8535","139.1883","-126.8117","1.25","104.4595","71.2464","4.3802","58",
"2540176","null","William Gholston","DL","TB","DL","TB","-29.3233","52.2266","null","null","267","41","null","0.3257","144.5","-122.5","0.5","56.2593","45.8","5.0958","null",
"2532822","null","Jared Crick","DL","HOU","DL","HOU","-29.5815","51.9684","null","null","268","42","null","0.4805","170","-98","0.5","59.7184","44.2934","3.6077","null",
"2507374","null","Steven Hauschka","K","SEA","K","SEA","-29.6539","143.4584","null","268","269","7","null","2.1607","129.035","-139.965","0.95","152.5945","134.3227","4.8135","null",
"2504211","null","Tom Brady","QB","NE","QB","NE","-29.7116","221.9827","null","91","270","18","null","1.3077","76.985","-193.015","9.8","266.1926","191.8483","3.0857","9",
"2540142","null","Sheldon Richardson","DL","NYJ","DL","NYJ","-29.7164","51.8335","null","null","271","43","null","0.7251","176.2","-94.8","2.5","59.6796","39.6","3.656","null",
"2552409","null","DeVante Parker","WR","MIA","WR","MIA","-29.8271","92.2482","null","null","272","60","null","1.7231","123.93","-148.07","3.075","115.271","43.2052","10.0721","3",
"2506881","null","Chad Greenway","LB","MIN","LB","MIN","-29.8798","94.8792","null","null","273","50","null","0.4067","168.75","-104.25","1","110.8231","64.15","7.8947","4",
"2533058","null","Vontaze Burfict","LB","CIN","LB","CIN","-30.1066","94.6525","null","null","274","51","null","0.902","175.45","-98.55","3.05","107.6136","75.4122","4.1468","37",
"2495611","null","Dashon Goldson","DB","WAS","DB","WAS","-30.2945","93.7749","null","null","275","27","null","0.781","170","-105","0.5","105.624","80.6282","3.9588","59",
"2532873","null","Malik Jackson","DL","DEN","DL","DEN","-30.4075","51.1424","null","null","276","44","null","0.4246","91","-185","2","52.7064","48.65","4.564","null",
"71197","null","Connor Barwin","LB","PHI","LB","PHI","-30.4665","94.2925","null","null","277","52","null","1.2985","180","-97","1","104.1622","83.5416","3.9939","41",
"2533435","null","Dontari Poe","DL","KC","DL","KC","-30.4756","51.0743","null","null","278","45","null","0.8516","170","-108","1","58.2588","38.241","2.724","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","-30.48","91.5954","null","147","279","61","null","4.374","133.3417","-145.6583","1.5","112.7603","71.8392","3.2926","37",
"2506340","null","Alex Smith","QB","KC","QB","KC","-30.4943","221.2","null","160","280","19","null","1.3225","140.3","-139.7","1.75","242.0966","197.4956","2.688","20",
"89756","null","Jason McCourty","DB","TEN","DB","TEN","-30.7317","93.3377","null","null","281","28","null","1.1741","141.6","-139.4","1.65","94.0707","92.056","4.8777","34",
"2495259","null","Dan Bailey","K","DAL","K","DAL","-30.9259","142.1864","null","283","282","8","null","2.502","127.6","-154.4","1.075","152.1731","132.3474","5.2814","6",
"284","null","Darren McFadden","RB","DAL","RB","DAL","-31.0737","92.1824","null","141","283","41","null","6.3856","97.8933","-185.1067","4.55","111.6352","68.2298","6.3876","34",
"2540150","null","Sharrif Floyd","DL","MIN","DL","MIN","-31.1888","50.3611","null","null","284","46","null","0.3435","235.3","-48.7","1.55","56.0458","44.95","2.9845","null",
"494323","null","T.J. Ward","DB","DEN","DB","DEN","-31.4193","92.6501","null","null","285","29","null","1.2081","199.2","-85.8","1.55","93.7718","91.3","5.138","29",
"2495356","null","Cedric Thornton","DL","PHI","DL","PHI","-31.4655","50.0844","null","null","286","47","null","0.2268","145","-141","0.5","51.0682","48.4","5.9397","null",
"2543466","null","Eric Ebron","TE","DET","TE","DET","-31.5089","71.4464","null","177","287","25","null","2.3511","138.802","-148.198","1.5","82.9721","48.0917","5.1455","12",
"2505245","null","Carson Palmer","QB","ARI","QB","ARI","-31.5443","220.1499","null","114","288","20","null","0.6124","126.3683","-161.6317","2.95","238.6729","187.3176","8.192","17",
"2533057","null","Donta Hightower","LB","NE","LB","NE","-31.5506","93.2084","null","null","289","53","null","0.4569","170","-119","1.5","102.1715","76.8538","2.3155","70",
"2507568","null","Desmond Bryant","DL","CLE","DL","CLE","-31.599","49.9509","null","null","290","48","null","0.2767","252.5","-37.5","0.5","52.995","44.55","4.7186","null",
"2532826","null","Mike Daniels","DL","GB","DL","GB","-31.7856","49.7643","null","null","291","49","null","0.3088","151.5","-139.5","0.5","55.9644","42.95","4.1594","null",
"2543478","null","RaShede Hageman","DL","ATL","DL","ATL","-31.9657","49.5842","null","null","292","50","null","0.2885","170","-122","0.5","54.0921","42.4","3.1002","null",
"2495190","null","Ryan Kerrigan","LB","WAS","LB","WAS","-31.9793","92.7797","null","null","293","54","null","1.123","175.5","-117.5","1.5","99.5677","83.6282","3.0929","58",
"2540280","null","Sam Barrington","LB","GB","LB","GB","-32.0357","92.7234","null","null","294","55","null","2.7732","109.335","-184.665","1","108.9756","68.3244","5.1218","18",
"2532853","null","Ladarius Green","TE","SD","TE","SD","-32.0541","70.9012","null","165","295","26","null","5.335","150.1117","-144.8883","1.25","82.0655","53.977","3.5484","16",
"497095","null","Sam Bradford","QB","PHI","QB","PHI","-32.0892","219.605","null","106","296","21","null","4.8693","120.115","-175.885","4.45","247.0526","168.849","9.0118","7",
"2495851","null","Jason Hatcher","DL","WAS","DL","WAS","-32.2233","49.3266","null","null","297","51","null","0.0679","170","-127","0.5","55.4041","42.1","4.251","null",
"2552466","null","Marcus Mariota","QB","TEN","QB","TEN","-32.2243","219.47","null","156","298","22","null","11.1773","121.186","-176.814","3.55","236.8715","191.6791","3.6788","23",
"2540163","null","Bennie Logan","DL","PHI","DL","PHI","-32.285","49.2649","null","null","299","52","null","0.0375","170","-129","1","56.2169","41.4","3.0284","null",
"496802","null","Linval Joseph","DL","MIN","DL","MIN","-32.2973","49.2526","null","null","300","53","null","0.1801","170","-130","0.5","52.4365","45.4","3.8157","null",
"71193","null","Robert Ayers","DL","NYG","DL","NYG","-32.3478","49.2021","null","null","301","54","null","0.3856","137","-164","1","53.9091","41.7","4.4825","null",
"2495872","null","Johnathan Joseph","DB","HOU","DB","HOU","-32.3921","91.6773","null","null","302","30","null","0.4836","152.375","-149.625","1.75","102.1814","82.6922","3.4428","71",
"2535718","null","Damon Harrison","DL","NYJ","DL","NYJ","-32.607","48.9429","null","null","303","55","null","0.2653","170","-133","0.5","54.6971","39.75","2.217","null",
"2552458","null","Devin Funchess","WR","CAR","WR","CAR","-32.6205","89.4549","null","142","304","62","null","4.7329","141.488","-162.512","1.25","134.1061","45.4026","6.7553","5",
"2504797","null","Matt Bryant","K","ATL","K","ATL","-32.7032","140.4091","null","309","305","9","null","4.9042","140.24","-164.76","0.775","146.1927","128.9612","3.8349","18",
"2507784","null","Michael Johnson","DL","CIN","DL","CIN","-32.8598","48.6901","null","null","306","56","null","0.1484","135.665","-170.335","1","49.7054","47.1","5.3989","null",
"2495339","null","DaNorris Searcy","DB","TEN","DB","TEN","-32.8627","91.2067","null","null","307","31","null","0.3819","186.775","-120.225","1.5","100.5468","82.094","2.9523","79",
"276","null","Chris Long","DL","STL","DL","STL","-32.8848","48.6651","null","null","308","57","null","0.652","198.5","-109.5","1.5","54.5195","37.75","3.5227","null",
"2495613","null","Corey Graham","DB","BUF","DB","BUF","-32.8888","91.1806","null","null","309","32","null","0.8934","169.25","-139.75","1","97.0375","84.2934","5.1563","28",
"2506115","null","Darnell Dockett","DL","SF","DL","SF","-33.1316","48.4183","null","null","310","58","null","1.0274","170","-140","0.5","57.3469","34.4","4.3989","null",
"71405","null","William Moore","DB","ATL","DB","ATL","-33.6004","90.469","null","null","311","33","null","1.1901","97","-214","0.5","102.7629","79.5541","3.4824","69",
"2533005","null","Jacquies Smith","DL","TB","DL","TB","-33.942","47.6079","null","null","312","59","null","0.6101","91","-221","2","56.0202","37.2934","4.1867","null",
"2506789","null","Tramon Williams","DB","CLE","DB","CLE","-33.9639","90.1055","null","null","313","34","null","1.7162","170","-143","0.5","92.8645","84.95","6.0402","16",
"2507401","null","Dan Carpenter","K","BUF","K","BUF","-34.1527","138.9596","null","320","314","10","null","7.1023","129.748","-184.252","0.75","151.8948","123.4513","3.3808","24",
"2495281","null","Mason Foster","LB","CHI","LB","CHI","-34.169","90.59","null","null","315","56","null","1.3813","null","null","2","93.4513","85.95","4.5975","26",
"2543461","null","Timmy Jernigan","DL","BAL","DL","BAL","-34.376","47.1739","null","null","316","60","null","0.3879","137","-179","1","49.3611","43.35","7.061","null",
"2552733","null","Michael Bennett","DL","JAC","DL","JAC","-34.728","46.8219","null","null","317","61","null","0.3466","177.9333","-139.0667","1","53.8864","34.5","6.4328","null",
"2540178","null","Knile Davis","RB","KC","RB","KC","-34.7964","88.4597","null","153","318","42","null","5.5041","125.066","-192.934","1.825","103.9269","57.092","3.6348","31",
"496760","null","Tyson Alualu","DL","JAC","DL","JAC","-34.7999","46.75","null","null","319","62","null","0.9212","63","-256","0","46.75","46.75","null","null",
"2517637","null","George Johnson","DL","TB","DL","TB","-35.3495","46.2004","null","null","320","63","null","1.0118","null","null","1","51.2304","36.85","4.1085","null",
"2539277","null","Manti Teo","LB","SD","LB","SD","-35.4487","89.3103","null","null","321","57","null","0.9903","147.665","-173.335","1","103.4041","73.741","3.6661","51",
"2508110","null","Aaron Williams","DB","BUF","DB","BUF","-35.6171","88.4523","null","null","322","35","null","0.3379","170","-152","1.2","90.584","85.5038","4.6324","43",
"2539220","null","Sio Moore","LB","OAK","LB","OAK","-35.652","89.107","null","null","323","58","null","2.7084","180","-143","1.5","103.8351","75.4026","4.2638","31",
"2539995","null","Mychal Rivera","TE","OAK","TE","OAK","-35.6658","67.2895","null","200","324","27","null","4.2078","131.092","-192.908","0.75","77.4168","51.8749","2.5646","null",
"2539334","null","Desmond Trufant","DB","ATL","DB","ATL","-35.743","88.3264","null","null","325","36","null","0.5308","146.915","-178.085","0.5","94.4911","81.9666","4.869","35",
"2541302","null","Brandon Williams","DL","BAL","DL","BAL","-36.0927","45.4572","null","null","326","64","null","0.7561","null","null","1","49.702","40.25","5.616","null",
"2532848","null","Tashaun Gipson","DB","CLE","DB","CLE","-36.167","87.9024","null","null","327","37","null","0.4279","180.4","-146.6","1.65","95.4183","77.25","3.2611","77",
"496733","null","Joe Haden","DB","CLE","DB","CLE","-36.3807","87.6887","null","null","328","38","null","0.8557","137.3","-190.7","2.7","94.4732","78.75","3.7129","66",
"2495723","null","Brian Robison","DL","MIN","DL","MIN","-36.6298","44.9201","null","null","329","65","null","0.5541","315","-14","1","48.2212","38.35","4.2197","null",
"79899","null","Jairus Byrd","DB","NO","DB","NO","-36.809","87.2604","null","null","330","39","null","1.0936","192.5","-137.5","1","93.4918","81.3659","3.9479","60",
"2533433","null","Akiem Hicks","DL","NO","DL","NO","-37.0678","44.4821","null","null","331","66","null","0.3086","170","-161","0","47.829","39.3","5.1084","null",
"2539291","null","Markus Wheaton","WR","PIT","WR","PIT","-37.0875","84.9879","null","180","332","63","null","1.892","142.8383","-189.1617","1.25","95.0318","65.2128","4.1851","36",
"2539978","null","Jon Bostic","LB","CHI","LB","CHI","-37.2261","87.5329","null","null","333","59","null","2.3758","76","-257","1","95.8499","72.5862","2.5385","68",
"2540201","null","Akeem Spence","DL","TB","DL","TB","-37.2999","44.25","null","null","334","67","null","0.5992","null","null","0","44.25","44.25","null","null",
"2552275","null","Owamagbe Odighizuwa","DL","NYG","DL","NYG","-37.453","44.0969","null","null","335","68","null","1.7151","57.83","-277.17","2","44.4281","43.6","5.5249","null",
"2532884","null","Marvin Jones","WR","CIN","WR","CIN","-37.6192","84.4561","null","140","336","64","null","3.0684","144.855","-191.145","1","100.2789","44.1428","6.6562","14",
"71441","null","Glover Quin","DB","DET","DB","DET","-37.6639","86.4055","null","null","337","40","null","0.6302","169.835","-167.165","0.5","88.6141","83.981","4.5696","44",
"2543769","null","Deone Bucannon","DB","ARI","DB","ARI","-38.1414","85.928","null","null","338","41","null","0.311","258.1","-79.9","2.85","96.4466","68.5862","3.4627","70",
"1330","null","Cliff Avril","DL","SEA","DL","SEA","-38.3451","43.2048","null","null","339","69","null","1.7537","156.665","-182.335","0.5","44.6791","41.4","4.9007","null",
"1302","null","Aqib Talib","DB","DEN","DB","DEN","-38.4467","85.6227","null","null","340","42","null","0.4607","109.5","-230.5","1","90.0012","78.0562","4.1201","54",
"2532794","null","Robert Blanton","DB","MIN","DB","MIN","-38.4582","85.6112","null","null","341","43","null","1.3493","255.75","-85.25","1.5","98.7962","68.0862","5.7316","21",
"2552468","null","Maxx Williams","TE","BAL","TE","BAL","-39.1125","63.8428","null","208","342","28","null","3.209","133.9633","-208.0367","1.25","82.1032","35.6047","4.3228","6",
"2539937","null","Shamarko Thomas","DB","PIT","DB","PIT","-39.3566","84.7128","null","null","343","44","null","0.9288","162.665","-180.335","0.5","101.4917","63.0862","7.7985","7",
"496820","null","Koa Misi","LB","MIA","LB","MIA","-39.4948","85.2642","null","null","344","60","null","0.507","170","-174","1","96.3926","74.9026","2.536","69",
"2507399","null","David Hawthorne","LB","NO","LB","NO","-39.709","85.0501","null","null","345","61","null","0.6928","152","-193","0.5","88.5046","81","4.4221","29",
"2552446","null","Randy Gregory","DL","DAL","DL","DAL","-39.9911","41.5588","null","null","346","70","null","0.2371","77.6","-268.4","2","41.9847","40.4","6.5559","null",
"2506467","null","Darren Sproles","RB","PHI","RB","PHI","-40.1224","83.1337","null","162","347","43","null","1.0963","130.87","-216.13","1.55","93.6633","66.8422","2.666","37",
"2532825","null","Vinny Curry","DL","PHI","DL","PHI","-40.2065","41.3434","null","null","348","71","null","0.1132","144.5","-203.5","0.5","41.5272","41.05","7.7443","null",
"2508068","null","C.J. Wilson","DL","OAK","DL","OAK","-40.2499","41.3","null","null","349","72","null","0.174","170","-179","0","41.3","41.3","null","null",
"4393","null","Ryan Mundy","DB","CHI","DB","CHI","-40.2585","83.8109","null","null","350","45","null","0.2113","170","-180","1","89.8302","76.526","3.3346","73",
"2536032","null","Emmanuel Lamur","LB","CIN","LB","CIN","-40.2947","84.4644","null","null","351","62","null","0.9313","170","-181","0.5","99.8371","55.1622","6.0521","11",
"2532869","null","George Iloka","DB","CIN","DB","CIN","-40.3124","83.757","null","null","352","46","null","0.3335","107","-245","1","90.9393","74.3","3.2803","75",
"2550353","null","Allen Hurns","WR","JAC","WR","JAC","-40.3398","81.7356","null","179","353","65","null","1.2641","149.5333","-203.4667","1","94.8298","55.6144","1.5195","59",
"2508055","null","Arthur Jones","DL","IND","DL","IND","-40.3895","41.1604","null","null","354","73","null","0.1896","null","null","null","44.867","35.6","2.1403","null",
"2534761","null","Ryan Davis","DL","JAC","DL","JAC","-40.4583","41.0916","null","null","355","74","null","0.4903","null","null","1","47.3645","30.15","5.3647","null",
"2506874","null","Reggie Bush","RB","SF","RB","SF","-40.4785","82.7776","null","122","356","44","null","2.3551","129.46","-226.54","1.8","105.3403","64.5533","3.6765","32",
"4267","null","Danny Lansanah","LB","TB","LB","TB","-40.5088","84.2502","null","null","357","63","null","1.5419","161.5","-195.5","1","92.2638","75.7","6.8419","6",
"2506108","null","DeAngelo Hall","DB","WAS","DB","WAS","-40.6271","83.4423","null","null","358","47","null","0.0989","223.2","-134.8","1","91.2247","73.0862","2.8122","81",
"2543481","null","Jace Amaro","TE","NYJ","TE","NYJ","-40.6348","62.3205","null","206","359","29","null","7.1065","154.0967","-204.9033","1","83.9823","26.9456","6.3378","1",
"79901","null","Vontae Davis","DB","IND","DB","IND","-40.6646","83.4048","null","null","360","48","null","0.7339","142.75","-217.25","1","97.9152","63.3506","4.5306","48",
"2495745","null","Anthony Spencer","DL","NO","DL","NO","-40.6999","40.85","null","null","361","75","null","0.5298","null","null","1","40.85","40.85","null","null",
"2530510","null","Chris Harris","DB","DEN","DB","DEN","-40.7875","83.2819","null","null","362","49","null","1.353","160.2233","-201.7767","0.3333","88.7098","75.25","6.5167","10",
"2543590","null","Cody Latimer","WR","DEN","WR","DEN","-41.0354","81.0399","null","163","363","66","null","1.7005","131.655","-231.345","2.275","110.4531","30.8338","5.8562","6",
"2550325","null","Chandler Catanzaro","K","ARI","K","ARI","-41.0621","132.0503","null","317","364","11","null","0.6079","157.264","-206.736","0.5","149.2238","119.2233","3.8096","20",
"2533006","null","Jaye Howard","DL","KC","DL","KC","-41.1974","40.3525","null","null","365","76","null","0.3586","null","null","1","45.7192","31.8","4.8302","null",
"2539296","null","Kawann Short","DL","CAR","DL","CAR","-41.262","40.2879","null","null","366","77","null","0.6975","170","-196","0.5","42.3159","37.45","8.4412","null",
"2532968","null","Blair Walsh","K","MIN","K","MIN","-41.4481","131.6643","null","315","367","12","null","0.7321","148.8683","-218.1317","0.85","148.7103","115.3271","3.952","13",
"2495143","null","Andy Dalton","QB","CIN","QB","CIN","-41.6928","210.0014","null","131","368","23","null","5.4064","137.5317","-230.4683","2","232.3256","195.464","2.7298","22",
"2495247","null","Ian Williams","DL","SF","DL","SF","-41.8499","39.7","null","null","369","78","null","0.2992","null","null","0","39.7","39.7","null","null",
"2539637","null","Caleb Sturgis","K","MIA","K","MIA","-41.8918","131.2205","null","322","370","13","null","1.0356","164.584","-205.416","0.5","151.1161","123.0744","3.8968","17",
"80421","null","Brian Cushing","LB","HOU","LB","HOU","-41.9431","82.8159","null","null","371","64","null","0.3139","243","-128","1.5","100.3988","62.2016","5.0178","19",
"2495161","null","Roy Helu","RB","OAK","RB","OAK","-41.9588","81.2973","null","149","372","45","null","2.0251","151.922","-220.078","1","102.8643","41.5899","4.1347","33",
"71279","null","Louis Delmas","DB","MIA","DB","MIA","-42.0094","82.06","null","null","373","50","null","0.3179","170","-203","0.5","90.2983","66.5384","4.4065","50",
"2506908","null","Frostee Rucker","DL","ARI","DL","ARI","-42.0693","39.4806","null","null","374","79","null","0.3543","109","-265","1","43.6119","33.2934","3.145","null",
"496788","null","Brandon Graham","LB","PHI","LB","PHI","-42.1583","82.6008","null","null","375","65","null","0.6846","176","-199","1","82.6304","82.55","6.6019","7",
"2508097","null","Andrew Hawkins","WR","CLE","WR","CLE","-42.1723","79.903","null","199","376","67","null","1.1463","158.78","-217.22","0.75","109.9173","54.2396","4.108","15",
"2543484","null","Kony Ealy","DL","CAR","DL","CAR","-42.2289","39.321","null","null","377","80","null","0.3943","140.75","-236.25","0.5","42.4572","33.85","4.0047","null",
"2543823","null","E.J. Gaines","DB","STL","DB","STL","-42.2716","81.7978","null","null","378","51","null","0.1858","127.5","-250.5","0.5","92.2629","65.3756","2.645","84",
"2552310","null","Denzel Perryman","LB","SD","LB","SD","-42.3557","82.4034","null","null","379","66","null","1.5511","112.57","-266.43","1.5","101.8603","61.9","7.4531","5",
"238227","null","Mike Mitchell","DB","PIT","DB","PIT","-42.383","81.6864","null","null","380","52","null","0.2248","170","-210","0","86.9885","71.45","3.9606","58",
"2533444","null","Randy Bullock","K","HOU","K","HOU","-42.4685","130.6438","null","327","381","14","null","1.4642","158.8525","-222.1475","0.5","142.1906","110.9633","3.7399","22",
"2543681","null","Kyle Fuller","DB","CHI","DB","CHI","-42.5317","81.5377","null","null","382","53","null","0.7598","149.85","-232.15","1.5","90.5454","67.274","2.5357","86",
"2495116","null","Allen Bailey","DL","KC","DL","KC","-42.6183","38.9316","null","null","383","81","null","0.1146","170","-213","0.5","47.4713","24.8","10.2244","null",
"2507473","null","Jason Jones","DL","DET","DL","DET","-42.628","38.9219","null","null","384","82","null","0.3157","null","null","2","44.668","31.2934","5.3012","null",
"2530794","null","Ron Parker","DB","KC","DB","KC","-42.684","81.3854","null","null","385","54","null","1.3296","200.9","-184.1","1","92.4072","54.1","3.5191","68",
"2506925","null","Domata Peko","DL","CIN","DL","CIN","-42.8376","38.7123","null","null","386","83","null","0.2459","170","-216","0.5","39.298","37.45","6.7145","null",
"2506880","null","Brodrick Bunkley","DL","FA","DL","FA","-43.0499","38.5","null","null","387","84","null","0.1659","null","null","0","38.5","38.5","null","null",
"4483","null","William Hayes","DL","STL","DL","STL","-43.1172","38.4327","null","null","388","85","null","0.3137","null","null","1","41.622","33.35","4.0615","null",
"2543614","null","Donte Moncrief","WR","IND","WR","IND","-43.2996","78.7758","null","176","389","68","null","0.3426","129.015","-259.985","2.025","96.1738","52.1916","3.4956","26",
"2539329","null","Star Lotulelei","DL","CAR","DL","CAR","-43.3143","38.2356","null","null","390","86","null","0.3094","170","-220","0.5","42.2367","31.2934","3.7253","null",
"2495597","null","Justin Durant","LB","ATL","LB","ATL","-43.3301","81.429","null","null","391","67","null","1.1847","null","null","2","95.8756","62.7032","4.9467","21",
"2553432","null","Kevin White","WR","CHI","WR","CHI","-43.3376","78.7378","null","155","392","69","null","1.1729","94.8083","-297.1917","7.425","120.9357","32.8804","8.2012","1",
"2500351","null","Phil Dawson","K","SF","K","SF","-43.3864","129.7259","null","319","393","15","null","1.526","162.845","-230.155","0.5","145.7409","116.749","5.0835","7",
"218","null","Glenn Dorsey","DL","SF","DL","SF","-43.5476","38.0023","null","null","394","87","null","0.2001","null","null","1","43.0881","32.05","2.3608","null",
"2552489","null","Eddie Goldman","DL","CHI","DL","CHI","-43.6999","37.85","null","null","395","88","null","0.1639","283.2","-111.8","1","37.85","37.85","null","null",
"2552461","null","Duke Johnson","RB","CLE","RB","CLE","-43.7084","79.5477","null","117","396","46","null","1.0228","117.47","-278.53","2.35","109.5675","39.6296","8.2571","5",
"2506556","null","Jeremiah Ratliff","DL","CHI","DL","CHI","-43.7955","37.7544","null","null","397","89","null","0.2705","null","null","null","38.8596","35.7","5.5864","null",
"2506861","null","Brent Grimes","DB","MIA","DB","MIA","-43.8991","80.1703","null","null","398","55","null","0.2381","170","-228","2.4","83.3062","71.05","8.3084","6",
"2505363","null","Cullen Jenkins","DL","NYG","DL","NYG","-43.932","37.6179","null","null","399","90","null","0.3994","null","null","1","45.5848","24.55","4.5296","null",
"2540169","null","Robert Woods","WR","BUF","WR","BUF","-43.9468","78.1286","null","217","400","70","null","1.1778","151.1275","-248.8725","0.75","98.9104","47.963","4.4553","20",
"2550313","null","Richard Rodgers","TE","GB","TE","GB","-44.0082","58.9471","null","219","401","30","null","7.6786","130.7233","-270.2767","0.5","74.6567","34.1225","4.3274","null",
"2506893","null","Roman Harper","DB","CAR","DB","CAR","-44.1282","79.9412","null","null","402","56","null","0.5621","170","-232","0.5","85.0614","74.7032","3.7376","65",
"2532875","null","Janoris Jenkins","DB","STL","DB","STL","-44.1463","79.9231","null","null","403","57","null","1.2235","138","-265","0.5","80.7009","79.2","6.1574","15",
"2505949","null","Dwan Edwards","DL","CAR","DL","CAR","-44.1999","37.35","null","null","404","91","null","0.266","170","-234","0.5","37.35","37.35","null","null",
"2543770","null","Charles Sims","RB","TB","RB","TB","-44.2593","78.9968","null","133","405","47","null","1.3395","129.782","-275.218","2.65","96.0345","51.8532","3.8359","39",
"2539231","null","John Jenkins","DL","NO","DL","NO","-44.463","37.0869","null","null","406","92","null","0.1449","170","-236","0","38.8041","34.35","4.7911","null",
"2532821","null","Tyrone Crawford","DL","DAL","DL","DAL","-44.4688","37.0811","null","null","407","93","null","0.3664","null","null","1","42.4713","29.75","2.1718","null",
"2505459","null","Josh Brown","K","NYG","K","NYG","-44.479","128.6333","null","329","408","16","null","0.9444","158.372","-249.628","0.5","143.2573","122.0885","3.9955","11",
"2505660","null","Terrell Suggs","LB","BAL","LB","BAL","-44.4834","80.2756","null","null","409","68","null","0.0686","127.5","-281.5","0.5","83.8197","74.6166","4.2609","32",
"2543720","null","Chris Kirksey","LB","CLE","LB","CLE","-44.5462","80.2129","null","null","410","69","null","0.9856","170","-240","0","86.4331","68.65","3.6055","52",
"2552490","null","Benardrick McKinney","LB","HOU","LB","HOU","-44.558","80.2011","null","null","411","70","null","2.1104","183.335","-227.665","1.5","104.4338","38.6","11.54","2",
"2505510","null","Cory Redding","DL","ARI","DL","ARI","-44.7469","36.803","null","null","412","94","null","0.1883","170","-242","0.5","40.2745","30.35","4.0432","null",
"2505916","null","Vince Wilfork","DL","HOU","DL","HOU","-44.9235","36.6264","null","null","413","95","null","0.0485","170","-243","0.5","38.7702","33","5.2544","null",
"2539270","null","Sylvester Williams","DL","DEN","DL","DEN","-44.9468","36.6031","null","null","414","96","null","0.0927","170","-244","0","41.2195","28.55","4.0116","null",
"79571","null","Sammie Lee Hill","DL","TEN","DL","TEN","-44.9973","36.5526","null","null","415","97","null","0.0915","null","null","1","36.7385","36.25","7.2269","null",
"2539336","null","Tavon Austin","WR","STL","WR","STL","-45.0743","77.0011","null","249","416","71","null","1.119","158.935","-257.065","0.75","94.5645","56.7","4.2644","47",
"2507408","null","Ropati Pitoitua","DL","TEN","DL","TEN","-45.0817","36.4682","null","null","417","98","null","0.1126","null","null","0","41.5673","27.95","2.3748","null",
"2495210","null","Stephen Paea","DL","WAS","DL","WAS","-45.0959","36.454","null","null","418","99","null","0.2652","170","-248","0.5","41.3261","29.7","2.6821","null",
"2533033","null","Robert Griffin","QB","WAS","QB","WAS","-45.1103","206.5839","null","158","419","24","null","4.0873","149.3517","-269.6483","2.25","228.7458","157.4425","8.3306","10",
"2495341","null","Cecil Shorts","WR","HOU","WR","HOU","-45.1749","76.9004","null","187","420","72","null","2.0672","160.0575","-259.9425","1","109.6961","48.0726","7.8696","8",
"4327","null","Danny Woodhead","RB","SD","RB","SD","-45.2029","78.0532","null","126","421","48","null","1.0213","125.8433","-295.1567","1.525","110.2479","26.2239","5.0035","9",
"2508043","null","Nate Allen","DB","OAK","DB","OAK","-45.2344","78.835","null","null","422","58","null","0.6279","166","-256","0.5","92.6166","55.5","3.8747","63",
"2552325","null","Danny Shelton","DL","CLE","DL","CLE","-45.2928","36.2571","null","null","423","100","null","0.1969","271.8","-151.2","1","41.4658","27.4","2.1959","null",
"71309","null","Graham Gano","K","CAR","K","CAR","-45.3458","127.7665","null","326","424","17","null","0.2726","155.408","-268.592","0.5","138.1221","122.717","4.3292","8",
"1332","null","Wallace Gilberry","DL","CIN","DL","CIN","-45.4294","36.1205","null","null","425","101","null","0.1483","170","-255","0","36.4676","35.6","7.4753","null",
"2506677","null","Matt Prater","K","DET","K","DET","-45.501","127.6113","null","314","426","18","null","0.5838","146.37","-279.63","0.775","141.2115","114.2256","4.2332","9",
"2495153","null","Marcus Gilchrist","DB","NYJ","DB","NYJ","-45.5052","78.5642","null","null","427","59","null","0.8264","170","-257","0.5","82.4035","73.1544","5.1235","30",
"2495311","null","Terrell McClain","DL","DAL","DL","DAL","-45.5499","36","null","null","428","102","null","0.0853","null","null","1","36","36","null","null",
"2539306","null","Wes Horton","DL","CAR","DL","CAR","-45.6055","35.9444","null","null","429","103","null","0.3496","null","null","0","36.8029","35.15","6.5513","null",
"2495912","null","Jeremy Mincey","DL","DAL","DL","DAL","-45.6648","35.8851","null","null","430","104","null","0.6936","170","-260","0.5","48.0261","19.4","6.4089","null",
