PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,SG/SF,Dillon Brooks (10002225),Dillon Brooks,10002225,SG,3800,LAC@MEM 12/23/2017 08:00PM ET,MEM,
,,,,,,,,,C,Cody Zeller (10002209),Cody Zeller,10002209,C,3800,MIL@CHA 12/23/2017 07:00PM ET,CHA,
,,,,,,,,,PG,Emmanuel Mudiay (10002206),Emmanuel Mudiay,10002206,PG,3800,DEN@GS 12/23/2017 08:30PM ET,DEN,
,,,,,,,,,SG/SF,Torrey Craig (10002220),Torrey Craig,10002220,SG,3800,DEN@GS 12/23/2017 08:30PM ET,DEN,
,,,,,,,,,SG,Marco Belinelli (10002261),Marco Belinelli,10002261,SG,3700,DAL@ATL 12/23/2017 07:30PM ET,ATL,
,,,,,,,,,PG/SG,Jerian Grant (10002257),Jerian Grant,10002257,PG,3700,CHI@BOS 12/23/2017 07:30PM ET,CHI,
,,,,,,,,,C,Aron Baynes (10002275),Aron Baynes,10002275,C,3700,CHI@BOS 12/23/2017 07:30PM ET,BOS,
,,,,,,,,,SF/PF,Jerami Grant (10002267),Jerami Grant,10002267,SF,3700,OKC@UTA 12/23/2017 08:00PM ET,OKC,
,,,,,,,,,SG/SF,Glenn Robinson III (10002286),Glenn Robinson III,10002286,SG,3700,BKN@IND 12/23/2017 07:00PM ET,IND,
,,,,,,,,,PF/C,Ed Davis (10002271),Ed Davis,10002271,PF,3700,POR@LAL 12/23/2017 09:30PM ET,POR,
,,,,,,,,,PG,Tyler Ulis (10002264),Tyler Ulis,10002264,PG,3700,MIN@PHO 12/23/2017 09:00PM ET,PHO,
,,,,,,,,,SF/PF,Jamil Wilson (10002277),Jamil Wilson,10002277,SF,3700,LAC@MEM 12/23/2017 08:00PM ET,LAC,
,,,,,,,,,PG/SF,Patrick McCaw (10002281),Patrick McCaw,10002281,PG,3700,DEN@GS 12/23/2017 08:30PM ET,GS,
,,,,,,,,,PG/SG,Devin Harris (10002299),Devin Harris,10002299,PG,3600,DAL@ATL 12/23/2017 07:30PM ET,DAL,
,,,,,,,,,SG/SF,Thabo Sefolosha (10002294),Thabo Sefolosha,10002294,SG,3600,OKC@UTA 12/23/2017 08:00PM ET,UTA,
,,,,,,,,,PG,Mike James (10002291),Mike James,10002291,PG,3600,MIN@PHO 12/23/2017 09:00PM ET,PHO,
,,,,,,,,,PF/C,Marquese Chriss (10002305),Marquese Chriss,10002305,PF,3600,MIN@PHO 12/23/2017 09:00PM ET,PHO,
,,,,,,,,,C,Kosta Koufos (10002303),Kosta Koufos,10002303,C,3600,SA@SAC 12/23/2017 10:00PM ET,SAC,
,,,,,,,,,PG/SG,Garrett Temple (10002309),Garrett Temple,10002309,PG,3600,SA@SAC 12/23/2017 10:00PM ET,SAC,
,,,,,,,,,SF/PF,Sam Dekker (10002321),Sam Dekker,10002321,SF,3600,LAC@MEM 12/23/2017 08:00PM ET,LAC,
,,,,,,,,,PF/C,Kenneth Faried (10002313),Kenneth Faried,10002313,PF,3600,DEN@GS 12/23/2017 08:30PM ET,DEN,
,,,,,,,,,PG/SG,Shaun Livingston (10002317),Shaun Livingston,10002317,PG,3600,DEN@GS 12/23/2017 08:30PM ET,GS,
,,,,,,,,,SG/SF,DeAndre' Bembry (10002352),DeAndre' Bembry,10002352,SG,3500,DAL@ATL 12/23/2017 07:30PM ET,ATL,
,,,,,,,,,C,Miles Plumlee (10002357),Miles Plumlee,10002357,C,3500,DAL@ATL 12/23/2017 07:30PM ET,ATL,
,,,,,,,,,C,Jahlil Okafor (10002339),Jahlil Okafor,10002339,C,3500,BKN@IND 12/23/2017 07:00PM ET,BKN,
,,,,,,,,,SG/SF,Corey Brewer (10002367),Corey Brewer,10002367,SG,3500,POR@LAL 12/23/2017 09:30PM ET,LAL,
,,,,,,,,,PG/SG,Bryn Forbes (10002359),Bryn Forbes,10002359,PG,3500,SA@SAC 12/23/2017 10:00PM ET,SA,
,,,,,,,,,SG/SF,Terrence Ross (10002325),Terrence Ross,10002325,SG,3500,ORL@WAS 12/23/2017 07:00PM ET,ORL,
,,,,,,,,,PG/SG,Tomas Satoransky (10002341),Tomas Satoransky,10002341,PG,3500,ORL@WAS 12/23/2017 07:00PM ET,WAS,
,,,,,,,,,PG,Tim Frazier (10002349),Tim Frazier,10002349,PG,3500,ORL@WAS 12/23/2017 07:00PM ET,WAS,
,,,,,,,,,PF/C,Montrezl Harrell (10002345),Montrezl Harrell,10002345,PF,3500,LAC@MEM 12/23/2017 08:00PM ET,LAC,
,,,,,,,,,PF/C,Jarell Martin (10002363),Jarell Martin,10002363,PF,3500,LAC@MEM 12/23/2017 08:00PM ET,MEM,
,,,,,,,,,SG/SF,Tony Snell (10002334),Tony Snell,10002334,SG,3500,MIL@CHA 12/23/2017 07:00PM ET,MIL,
,,,,,,,,,PF/C,David West (10002330),David West,10002330,PF,3500,DEN@GS 12/23/2017 08:30PM ET,GS,
,,,,,,,,,PF,Tyler Cavanaugh (10002411),Tyler Cavanaugh,10002411,PF,3400,DAL@ATL 12/23/2017 07:30PM ET,ATL,
,,,,,,,,,PF/C,Daniel Theis (10002414),Daniel Theis,10002414,PF,3400,CHI@BOS 12/23/2017 07:30PM ET,BOS,
,,,,,,,,,SG/SF,Andre Roberson (10002382),Andre Roberson,10002382,SG,3400,OKC@UTA 12/23/2017 08:00PM ET,OKC,
,,,,,,,,,PG,Raul Neto (10002423),Raul Neto,10002423,PG,3400,OKC@UTA 12/23/2017 08:00PM ET,UTA,
,,,,,,,,,C,Tyler Zeller (10002376),Tyler Zeller,10002376,C,3400,BKN@IND 12/23/2017 07:00PM ET,BKN,
,,,,,,,,,PF/C,Jarrett Allen (10002391),Jarrett Allen,10002391,PF,3400,BKN@IND 12/23/2017 07:00PM ET,BKN,
,,,,,,,,,PG/SG,Nik Stauskas (10002444),Nik Stauskas,10002444,PG,3400,BKN@IND 12/23/2017 07:00PM ET,BKN,
,,,,,,,,,SF/PF,Maurice Harkless (10002395),Maurice Harkless,10002395,SF,3400,POR@LAL 12/23/2017 09:30PM ET,POR,
,,,,,,,,,PF/C,Zach Collins (10002440),Zach Collins,10002440,PF,3400,POR@LAL 12/23/2017 09:30PM ET,POR,
,,,,,,,,,PF/C,Gorgui Dieng (10002378),Gorgui Dieng,10002378,PF,3400,MIN@PHO 12/23/2017 09:00PM ET,MIN,
,,,,,,,,,SF/PF,Dragan Bender (10002399),Dragan Bender,10002399,SF,3400,MIN@PHO 12/23/2017 09:00PM ET,PHO,
,,,,,,,,,PG/SG,Tyus Jones (10002407),Tyus Jones,10002407,PG,3400,MIN@PHO 12/23/2017 09:00PM ET,MIN,
,,,,,,,,,SF/PF,Davis Bertans (10002426),Davis Bertans,10002426,SF,3400,SA@SAC 12/23/2017 10:00PM ET,SA,
,,,,,,,,,SG,Brandon Paul (10002437),Brandon Paul,10002437,SG,3400,SA@SAC 12/23/2017 10:00PM ET,SA,
,,,,,,,,,PG/SG,Shelvin Mack (10002387),Shelvin Mack,10002387,PG,3400,ORL@WAS 12/23/2017 07:00PM ET,ORL,
,,,,,,,,,C,Ian Mahinmi (10002421),Ian Mahinmi,10002421,C,3400,ORL@WAS 12/23/2017 07:00PM ET,WAS,
,,,,,,,,,SG/SF,Arron Afflalo (10002448),Arron Afflalo,10002448,SG,3400,ORL@WAS 12/23/2017 07:00PM ET,ORL,
,,,,,,,,,PG,Jawun Evans (10002418),Jawun Evans,10002418,PG,3400,LAC@MEM 12/23/2017 08:00PM ET,LAC,
,,,,,,,,,SG,C.J. Williams (10002430),C.J. Williams,10002430,SG,3400,LAC@MEM 12/23/2017 08:00PM ET,LAC,
,,,,,,,,,PF/C,Thon Maker (10002403),Thon Maker,10002403,PF,3400,MIL@CHA 12/23/2017 07:00PM ET,MIL,
,,,,,,,,,PG/SG,Jameer Nelson (10002372),Jameer Nelson,10002372,PG,3400,NO@MIA 12/23/2017 08:00PM ET,NO,
,,,,,,,,,SF/PF,Kevon Looney (10002433),Kevon Looney,10002433,SF,3400,DEN@GS 12/23/2017 08:30PM ET,GS,
,,,,,,,,,SG/SF,Paul Zipser (10002498),Paul Zipser,10002498,SG,3300,CHI@BOS 12/23/2017 07:30PM ET,CHI,
,,,,,,,,,PG,Shane Larkin (10002507),Shane Larkin,10002507,PG,3300,CHI@BOS 12/23/2017 07:30PM ET,BOS,
,,,,,,,,,SG/SF,Alex Abrines (10002493),Alex Abrines,10002493,SG,3300,OKC@UTA 12/23/2017 08:00PM ET,OKC,
,,,,,,,,,PF/C,Quincy Acy (10002481),Quincy Acy,10002481,PF,3300,BKN@IND 12/23/2017 07:00PM ET,BKN,
,,,,,,,,,SG/SF,Pat Connaughton (10002485),Pat Connaughton,10002485,SG,3300,POR@LAL 12/23/2017 09:30PM ET,POR,
,,,,,,,,,SF/PF,Nemanja Bjelica (10002467),Nemanja Bjelica,10002467,SF,3300,MIN@PHO 12/23/2017 09:00PM ET,MIN,
,,,,,,,,,SG/SF,Shabazz Muhammad (10002515),Shabazz Muhammad,10002515,SG,3300,MIN@PHO 12/23/2017 09:00PM ET,MIN,
,,,,,,,,,PF/C,Skal Labissiere (10002459),Skal Labissiere,10002459,PF,3300,SA@SAC 12/23/2017 10:00PM ET,SAC,
,,,,,,,,,SF/PF,Jakarr Sampson (10002463),Jakarr Sampson,10002463,SF,3300,SA@SAC 12/23/2017 10:00PM ET,SAC,
,,,,,,,,,SF/PF,Jonathan Isaac (10002455),Jonathan Isaac,10002455,SF,3300,ORL@WAS 12/23/2017 07:00PM ET,ORL,
,,,,,,,,,PG,Michael Carter-Williams (10002475),Michael Carter-Williams,10002475,PG,3300,MIL@CHA 12/23/2017 07:00PM ET,CHA,
,,,,,,,,,SG/SF,DeAndre Liggins (10002510),DeAndre Liggins,10002510,SG,3300,MIL@CHA 12/23/2017 07:00PM ET,MIL,
,,,,,,,,,SF/PF,Dante Cunningham (10002471),Dante Cunningham,10002471,SF,3300,NO@MIA 12/23/2017 08:00PM ET,NO,
,,,,,,,,,SF,Darius Miller (10002478),Darius Miller,10002478,SF,3300,NO@MIA 12/23/2017 08:00PM ET,NO,
,,,,,,,,,C,Zaza Pachulia (10002453),Zaza Pachulia,10002453,C,3300,DEN@GS 12/23/2017 08:30PM ET,GS,
,,,,,,,,,SG,Nick Young (10002490),Nick Young,10002490,SG,3300,DEN@GS 12/23/2017 08:30PM ET,GS,
,,,,,,,,,SF/PF,Juancho Hernangomez (10002503),Juancho Hernangomez,10002503,SF,3300,DEN@GS 12/23/2017 08:30PM ET,DEN,
,,,,,,,,,SG/SF,Semi Ojeleye (10002565),Semi Ojeleye,10002565,SG,3200,CHI@BOS 12/23/2017 07:30PM ET,BOS,
,,,,,,,,,PF/C,Patrick Patterson (10002555),Patrick Patterson,10002555,PF,3200,OKC@UTA 12/23/2017 08:00PM ET,OKC,
,,,,,,,,,PF/C,Al Jefferson (10002520),Al Jefferson,10002520,PF,3200,BKN@IND 12/23/2017 07:00PM ET,IND,
,,,,,,,,,PG/SG,Isaiah Whitehead (10002529),Isaiah Whitehead,10002529,PG,3200,BKN@IND 12/23/2017 07:00PM ET,BKN,
,,,,,,,,,PF/C,Meyers Leonard (10002549),Meyers Leonard,10002549,PF,3200,POR@LAL 12/23/2017 09:30PM ET,POR,
,,,,,,,,,PF,Caleb Swanigan (10002559),Caleb Swanigan,10002559,PF,3200,POR@LAL 12/23/2017 09:30PM ET,POR,
,,,,,,,,,C,Ivica Zubac (10002575),Ivica Zubac,10002575,C,3200,POR@LAL 12/23/2017 09:30PM ET,LAL,
,,,,,,,,,PF,Jared Dudley (10002546),Jared Dudley,10002546,PF,3200,MIN@PHO 12/23/2017 09:00PM ET,PHO,
,,,,,,,,,SG/SF,Wes Iwundu (10002570),Wes Iwundu,10002570,SG,3200,ORL@WAS 12/23/2017 07:00PM ET,ORL,
,,,,,,,,,SG/SF,James Ennis III (10002524),James Ennis III,10002524,SG,3200,LAC@MEM 12/23/2017 08:00PM ET,MEM,
,,,,,,,,,SG/SF,Ben McLemore (10002541),Ben McLemore,10002541,SG,3200,LAC@MEM 12/23/2017 08:00PM ET,MEM,
,,,,,,,,,SF/PF,Mirza Teletovic (10002533),Mirza Teletovic,10002533,SF,3200,MIL@CHA 12/23/2017 07:00PM ET,MIL,
,,,,,,,,,PG/SG,Matthew Dellavedova (10002537),Matthew Dellavedova,10002537,PG,3200,MIL@CHA 12/23/2017 07:00PM ET,MIL,
,,,,,,,,,C,JaVale McGee (10002553),JaVale McGee,10002553,C,3200,DEN@GS 12/23/2017 08:30PM ET,GS,
,,,,,,,,,SG,Malik Beasley (10002562),Malik Beasley,10002562,SG,3200,DEN@GS 12/23/2017 08:30PM ET,DEN,
,,,,,,,,,PF/C,Dwight Powell (10002577),Dwight Powell,10002577,PF,3100,DAL@ATL 12/23/2017 07:30PM ET,DAL,
,,,,,,,,,SF/PF,Luke Babbitt (10002589),Luke Babbitt,10002589,SF,3100,DAL@ATL 12/23/2017 07:30PM ET,ATL,
,,,,,,,,,PG,Antonio Blakeney (10002600),Antonio Blakeney,10002600,PG,3100,CHI@BOS 12/23/2017 07:30PM ET,CHI,
,,,,,,,,,PG/SG,Raymond Felton (10002585),Raymond Felton,10002585,PG,3100,OKC@UTA 12/23/2017 08:00PM ET,OKC,
,,,,,,,,,PF/C,Noah Vonleh (10002581),Noah Vonleh,10002581,PF,3100,POR@LAL 12/23/2017 09:30PM ET,POR,
,,,,,,,,,SG/SF,Vince Carter (10002608),Vince Carter,10002608,SG,3100,SA@SAC 12/23/2017 10:00PM ET,SAC,
,,,,,,,,,PF/C,Bismack Biyombo (10002593),Bismack Biyombo,10002593,PF,3100,ORL@WAS 12/23/2017 07:00PM ET,ORL,
,,,,,,,,,SG,Jodie Meeks (10002597),Jodie Meeks,10002597,SG,3100,ORL@WAS 12/23/2017 07:00PM ET,WAS,
,,,,,,,,,SG/SF,Tony Allen (10002603),Tony Allen,10002603,SG,3100,NO@MIA 12/23/2017 08:00PM ET,NO,
,,,,,,,,,PG,Quinn Cook (10002613),Quinn Cook,10002613,PG,3100,DEN@GS 12/23/2017 08:30PM ET,GS,
,,,,,,,,,C,Mike Muscala (10002624),Mike Muscala,10002624,C,3000,DAL@ATL 12/23/2017 07:30PM ET,ATL,
,,,,,,,,,PF,Nerlens Noel (10002637),Nerlens Noel,10002637,PF,3000,DAL@ATL 12/23/2017 07:30PM ET,DAL,
,,,,,,,,,C,Salah Mejri (10002640),Salah Mejri,10002640,C,3000,DAL@ATL 12/23/2017 07:30PM ET,DAL,
,,,,,,,,,PF/C,Johnathan Motley (10002714),Johnathan Motley,10002714,PF,3000,DAL@ATL 12/23/2017 07:30PM ET,DAL,
,,,,,,,,,SG,Kyle Collinsworth (10002747),Kyle Collinsworth,10002747,SG,3000,DAL@ATL 12/23/2017 07:30PM ET,DAL,
,,,,,,,,,PG,Josh Magette (10002754),Josh Magette,10002754,PG,3000,DAL@ATL 12/23/2017 07:30PM ET,ATL,
,,,,,,,,,SF,Dorian Finney-Smith (10002761),Dorian Finney-Smith,10002761,SF,3000,DAL@ATL 12/23/2017 07:30PM ET,DAL,
,,,,,,,,,PG/SG,Tyler Dorsey (10002818),Tyler Dorsey,10002818,PG,3000,DAL@ATL 12/23/2017 07:30PM ET,ATL,
,,,,,,,,,PF/C,Josh McRoberts (10002977),Josh McRoberts,10002977,PF,3000,DAL@ATL 12/23/2017 07:30PM ET,DAL,
,,,,,,,,,PF/C,Cristiano Felicio (10002685),Cristiano Felicio,10002685,PF,3000,CHI@BOS 12/23/2017 07:30PM ET,CHI,
,,,,,,,,,SG/SF,Quincy Pondexter (10002774),Quincy Pondexter,10002774,SG,3000,CHI@BOS 12/23/2017 07:30PM ET,CHI,
,,,,,,,,,PF/C,Guerschon Yabusele (10002779),Guerschon Yabusele,10002779,PF,3000,CHI@BOS 12/23/2017 07:30PM ET,BOS,
,,,,,,,,,PF,Abdel Nader (10002798),Abdel Nader,10002798,PF,3000,CHI@BOS 12/23/2017 07:30PM ET,BOS,
,,,,,,,,,SG,Jabari Bird (10002842),Jabari Bird,10002842,SG,3000,CHI@BOS 12/23/2017 07:30PM ET,BOS,
,,,,,,,,,SG,Kadeem Allen (10002869),Kadeem Allen,10002869,SG,3000,CHI@BOS 12/23/2017 07:30PM ET,BOS,
,,,,,,,,,PG,Ryan Arcidiacono (10002927),Ryan Arcidiacono,10002927,PG,3000,CHI@BOS 12/23/2017 07:30PM ET,CHI,
,,,,,,,,,SG/SF,Gordon Hayward (10002986),Gordon Hayward,10002986,SG,3000,CHI@BOS 12/23/2017 07:30PM ET,BOS,
,,,,,,,,,PG/SG,Cameron Payne (10003008),Cameron Payne,10003008,PG,3000,CHI@BOS 12/23/2017 07:30PM ET,CHI,
,,,,,,,,,SF,Royce O'Neale (10002711),Royce O'Neale,10002711,SF,3000,OKC@UTA 12/23/2017 08:00PM ET,UTA,
,,,,,,,,,SF/PF,Josh Huestis (10002733),Josh Huestis,10002733,SF,3000,OKC@UTA 12/23/2017 08:00PM ET,OKC,
,,,,,,,,,C,Dakari Johnson (10002745),Dakari Johnson,10002745,C,3000,OKC@UTA 12/23/2017 08:00PM ET,OKC,
,,,,,,,,,SG/SF,Kyle Singler (10002805),Kyle Singler,10002805,SG,3000,OKC@UTA 12/23/2017 08:00PM ET,OKC,
,,,,,,,,,PF/C,Nick Collison (10002845),Nick Collison,10002845,PF,3000,OKC@UTA 12/23/2017 08:00PM ET,OKC,
,,,,,,,,,C,Tony Bradley (10002877),Tony Bradley,10002877,C,3000,OKC@UTA 12/23/2017 08:00PM ET,UTA,
,,,,,,,,,SG/SF,Terrance Ferguson (10002886),Terrance Ferguson,10002886,SG,3000,OKC@UTA 12/23/2017 08:00PM ET,OKC,
,,,,,,,,,PG,Nate Wolters (10002936),Nate Wolters,10002936,PG,3000,OKC@UTA 12/23/2017 08:00PM ET,UTA,
,,,,,,,,,PG/SG,PJ Dozier (10002970),PJ Dozier,10002970,PG,3000,OKC@UTA 12/23/2017 08:00PM ET,OKC,
,,,,,,,,,PG/SG,Dante Exum (10003004),Dante Exum,10003004,PG,3000,OKC@UTA 12/23/2017 08:00PM ET,UTA,
,,,,,,,,,SF,Daniel Hamilton (10003012),Daniel Hamilton,10003012,SF,3000,OKC@UTA 12/23/2017 08:00PM ET,OKC,
,,,,,,,,,SF/PF,Erik McCree (10003045),Erik McCree,10003045,SF,3000,OKC@UTA 12/23/2017 08:00PM ET,UTA,
,,,,,,,,,PG/SG,Jeremy Lin (10002620),Jeremy Lin,10002620,PG,3000,BKN@IND 12/23/2017 07:00PM ET,BKN,
,,,,,,,,,C,Timofey Mozgov (10002646),Timofey Mozgov,10002646,C,3000,BKN@IND 12/23/2017 07:00PM ET,BKN,
,,,,,,,,,SF/PF,TJ Leaf (10002741),TJ Leaf,10002741,SF,3000,BKN@IND 12/23/2017 07:00PM ET,IND,
,,,,,,,,,PG,Jacob Wiley (10002795),Jacob Wiley,10002795,PG,3000,BKN@IND 12/23/2017 07:00PM ET,BKN,
,,,,,,,,,PG/SG,Joe Young (10002814),Joe Young,10002814,PG,3000,BKN@IND 12/23/2017 07:00PM ET,IND,
,,,,,,,,,SG/SF,Damien Wilkins (10002872),Damien Wilkins,10002872,SG,3000,BKN@IND 12/23/2017 07:00PM ET,IND,
,,,,,,,,,PF/C,Ike Anigbogu (10002906),Ike Anigbogu,10002906,PF,3000,BKN@IND 12/23/2017 07:00PM ET,IND,
,,,,,,,,,SF,Alex Poythress (10002910),Alex Poythress,10002910,SF,3000,BKN@IND 12/23/2017 07:00PM ET,IND,
,,,,,,,,,PG,Milton Doyle (10002967),Milton Doyle,10002967,PG,3000,BKN@IND 12/23/2017 07:00PM ET,BKN,
,,,,,,,,,SG,Yakuba Ouattara (10002974),Yakuba Ouattara,10002974,SG,3000,BKN@IND 12/23/2017 07:00PM ET,BKN,
,,,,,,,,,PG,Edmond Sumner (10003001),Edmond Sumner,10003001,PG,3000,BKN@IND 12/23/2017 07:00PM ET,IND,
,,,,,,,,,C,Andrew Bogut (10002700),Andrew Bogut,10002700,C,3000,POR@LAL 12/23/2017 09:30PM ET,LAL,
,,,,,,,,,SF/PF,Luol Deng (10002783),Luol Deng,10002783,SF,3000,POR@LAL 12/23/2017 09:30PM ET,LAL,
,,,,,,,,,PG/SG,Tyler Ennis (10002801),Tyler Ennis,10002801,PG,3000,POR@LAL 12/23/2017 09:30PM ET,LAL,
,,,,,,,,,PG/SG,Alex Caruso (10002822),Alex Caruso,10002822,PG,3000,POR@LAL 12/23/2017 09:30PM ET,LAL,
,,,,,,,,,SF/PF,Jake Layman (10002838),Jake Layman,10002838,SF,3000,POR@LAL 12/23/2017 09:30PM ET,POR,
,,,,,,,,,PG/SG,Vander Blue (10002939),Vander Blue,10002939,PG,3000,POR@LAL 12/23/2017 09:30PM ET,LAL,
,,,,,,,,,PF/C,Thomas Bryant (10002943),Thomas Bryant,10002943,PF,3000,POR@LAL 12/23/2017 09:30PM ET,LAL,
,,,,,,,,,SG/SF,CJ Wilcox (10002950),CJ Wilcox,10002950,SG,3000,POR@LAL 12/23/2017 09:30PM ET,POR,
,,,,,,,,,PG/SG,Wade Baldwin IV (10002993),Wade Baldwin IV,10002993,PG,3000,POR@LAL 12/23/2017 09:30PM ET,POR,
,,,,,,,,,SG/SF,Danuel House (10002720),Danuel House,10002720,SG,3000,MIN@PHO 12/23/2017 09:00PM ET,PHO,
,,,,,,,,,PG/SG,Aaron Brooks (10002810),Aaron Brooks,10002810,PG,3000,MIN@PHO 12/23/2017 09:00PM ET,MIN,
,,,,,,,,,PF,Alec Peters (10002835),Alec Peters,10002835,PF,3000,MIN@PHO 12/23/2017 09:00PM ET,PHO,
,,,,,,,,,C,Cole Aldrich (10002913),Cole Aldrich,10002913,C,3000,MIN@PHO 12/23/2017 09:00PM ET,MIN,
,,,,,,,,,SG/SF,Marcus Georges-Hunt (10002919),Marcus Georges-Hunt,10002919,SG,3000,MIN@PHO 12/23/2017 09:00PM ET,MIN,
,,,,,,,,,C,Alan Williams (10002984),Alan Williams,10002984,C,3000,MIN@PHO 12/23/2017 09:00PM ET,PHO,
,,,,,,,,,PG/SG,Brandon Knight (10002997),Brandon Knight,10002997,PG,3000,MIN@PHO 12/23/2017 09:00PM ET,PHO,
,,,,,,,,,C,Justin Patton (10003027),Justin Patton,10003027,C,3000,MIN@PHO 12/23/2017 09:00PM ET,MIN,
,,,,,,,,,SG/SF,Davon Reed (10003029),Davon Reed,10003029,SG,3000,MIN@PHO 12/23/2017 09:00PM ET,PHO,
,,,,,,,,,SG/SF,Anthony Brown (10003038),Anthony Brown,10003038,SG,3000,MIN@PHO 12/23/2017 09:00PM ET,MIN,
,,,,,,,,,PF,Matt Costello (10002634),Matt Costello,10002634,PF,3000,SA@SAC 12/23/2017 10:00PM ET,SA,
,,,,,,,,,PF/C,Joffrey Lauvergne (10002655),Joffrey Lauvergne,10002655,PF,3000,SA@SAC 12/23/2017 10:00PM ET,SA,
,,,,,,,,,SG/SF,Justin Jackson (10002663),Justin Jackson,10002663,SG,3000,SA@SAC 12/23/2017 10:00PM ET,SAC,
,,,,,,,,,C,Georgios Papagiannis (10002718),Georgios Papagiannis,10002718,C,3000,SA@SAC 12/23/2017 10:00PM ET,SAC,
,,,,,,,,,SG/SF,Malachi Richardson (10002725),Malachi Richardson,10002725,SG,3000,SA@SAC 12/23/2017 10:00PM ET,SAC,
,,,,,,,,,PG,Derrick White (10002730),Derrick White,10002730,PG,3000,SA@SAC 12/23/2017 10:00PM ET,SA,
,,,,,,,,,PF,Jack Cooley (10002792),Jack Cooley,10002792,PF,3000,SA@SAC 12/23/2017 10:00PM ET,SAC,
,,,,,,,,,SG/SF,Darrun Hilliard (10002855),Darrun Hilliard,10002855,SG,3000,SA@SAC 12/23/2017 10:00PM ET,SA,
,,,,,,,,,PF/C,Harry Giles (10003034),Harry Giles,10003034,PF,3000,SA@SAC 12/23/2017 10:00PM ET,SAC,
,,,,,,,,,PF/C,Marreese Speights (10002630),Marreese Speights,10002630,PF,3000,ORL@WAS 12/23/2017 07:00PM ET,ORL,
,,,,,,,,,PF/C,Jason Smith (10002737),Jason Smith,10002737,PF,3000,ORL@WAS 12/23/2017 07:00PM ET,WAS,
,,,,,,,,,PF/C,Chris McCullough (10002767),Chris McCullough,10002767,PF,3000,ORL@WAS 12/23/2017 07:00PM ET,WAS,
,,,,,,,,,PF,Adreian Payne (10002789),Adreian Payne,10002789,PF,3000,ORL@WAS 12/23/2017 07:00PM ET,ORL,
,,,,,,,,,SG/SF,Jamel Artis (10002864),Jamel Artis,10002864,SG,3000,ORL@WAS 12/23/2017 07:00PM ET,ORL,
,,,,,,,,,PF/C,Khem Birch (10002902),Khem Birch,10002902,PF,3000,ORL@WAS 12/23/2017 07:00PM ET,ORL,
,,,,,,,,,PF,Mike Young (10002958),Mike Young,10002958,PF,3000,ORL@WAS 12/23/2017 07:00PM ET,WAS,
,,,,,,,,,SG,Sheldon Mac (10002961),Sheldon Mac,10002961,SG,3000,ORL@WAS 12/23/2017 07:00PM ET,WAS,
,,,,,,,,,SG,Devin Robinson (10002964),Devin Robinson,10002964,SG,3000,ORL@WAS 12/23/2017 07:00PM ET,WAS,
,,,,,,,,,PG/SG,Patrick Beverley (10002616),Patrick Beverley,10002616,PG,3000,LAC@MEM 12/23/2017 08:00PM ET,LAC,
,,,,,,,,,PF/C,Brandan Wright (10002626),Brandan Wright,10002626,PF,3000,LAC@MEM 12/23/2017 08:00PM ET,MEM,
,,,,,,,,,C,Willie Reed (10002653),Willie Reed,10002653,C,3000,LAC@MEM 12/23/2017 08:00PM ET,LAC,
,,,,,,,,,PF/C,Deyonta Davis (10002668),Deyonta Davis,10002668,PF,3000,LAC@MEM 12/23/2017 08:00PM ET,MEM,
,,,,,,,,,SG,Sindarius Thornwell (10002689),Sindarius Thornwell,10002689,SG,3000,LAC@MEM 12/23/2017 08:00PM ET,LAC,
,,,,,,,,,PG/SG,Wayne Selden Jr. (10002696),Wayne Selden Jr.,10002696,PG,3000,LAC@MEM 12/23/2017 08:00PM ET,MEM,
,,,,,,,,,PF/C,Brice Johnson (10002757),Brice Johnson,10002757,PF,3000,LAC@MEM 12/23/2017 08:00PM ET,LAC,
,,,,,,,,,SG,Kobi Simmons (10002826),Kobi Simmons,10002826,SG,3000,LAC@MEM 12/23/2017 08:00PM ET,MEM,
,,,,,,,,,PF,Vince Hunter (10002832),Vince Hunter,10002832,PF,3000,LAC@MEM 12/23/2017 08:00PM ET,MEM,
,,,,,,,,,PF/C,Ivan Rabb (10002915),Ivan Rabb,10002915,PF,3000,LAC@MEM 12/23/2017 08:00PM ET,MEM,
,,,,,,,,,PG/SG,Malik Monk (10002642),Malik Monk,10002642,PG,3000,MIL@CHA 12/23/2017 07:00PM ET,CHA,
,,,,,,,,,SG/SF,Treveon Graham (10002648),Treveon Graham,10002648,SG,3000,MIL@CHA 12/23/2017 07:00PM ET,CHA,
,,,,,,,,,PF/C,Johnny O'Bryant III (10002659),Johnny O'Bryant III,10002659,PF,3000,MIL@CHA 12/23/2017 07:00PM ET,CHA,
,,,,,,,,,PG/SG,Sean Kilpatrick (10002672),Sean Kilpatrick,10002672,PG,3000,MIL@CHA 12/23/2017 07:00PM ET,MIL,
