PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,SG/SF,Kent Bazemore (10001707),Kent Bazemore,10001707,SG,6600,DAL@ATL 12/23/2017 07:30PM ET,ATL,
,,,,,,,,,C,Rudy Gobert (10001705),Rudy Gobert,10001705,C,6600,OKC@UTA 12/23/2017 08:00PM ET,UTA,
,,,,,,,,,SF/PF,T.J. Warren (10001701),T.J. Warren,10001701,SF,6600,MIN@PHO 12/23/2017 09:00PM ET,PHO,
,,,,,,,,,PF/C,Paul Millsap (10001697),Paul Millsap,10001697,PF,6600,DEN@GS 12/23/2017 08:30PM ET,DEN,
,,,,,,,,,SF/PF,Harrison Barnes (10001716),Harrison Barnes,10001716,SF,6500,DAL@ATL 12/23/2017 07:30PM ET,DAL,
,,,,,,,,,PF/C,Nikola Mirotic (10001712),Nikola Mirotic,10001712,PF,6500,CHI@BOS 12/23/2017 07:30PM ET,CHI,
,,,,,,,,,C,Myles Turner (10001720),Myles Turner,10001720,C,6500,BKN@IND 12/23/2017 07:00PM ET,IND,
,,,,,,,,,SG/SF,Jonathon Simmons (10001722),Jonathon Simmons,10001722,SG,6500,ORL@WAS 12/23/2017 07:00PM ET,ORL,
,,,,,,,,,C,Steven Adams (10001731),Steven Adams,10001731,C,6400,OKC@UTA 12/23/2017 08:00PM ET,OKC,
,,,,,,,,,SG/SF,Rodney Hood (10001740),Rodney Hood,10001740,SG,6400,OKC@UTA 12/23/2017 08:00PM ET,UTA,
,,,,,,,,,PG/SG,Spencer Dinwiddie (10001736),Spencer Dinwiddie,10001736,PG,6400,BKN@IND 12/23/2017 07:00PM ET,BKN,
,,,,,,,,,PG,Mike Conley (10001733),Mike Conley,10001733,PG,6400,LAC@MEM 12/23/2017 08:00PM ET,MEM,
,,,,,,,,,PG/SG,Eric Bledsoe (10001727),Eric Bledsoe,10001727,PG,6400,MIL@CHA 12/23/2017 07:00PM ET,MIL,
,,,,,,,,,SG/SF,Josh Richardson (10001745),Josh Richardson,10001745,SG,6400,NO@MIA 12/23/2017 08:00PM ET,MIA,
,,,,,,,,,SG/SF,Taurean Prince (10001753),Taurean Prince,10001753,SG,6300,DAL@ATL 12/23/2017 07:30PM ET,ATL,
,,,,,,,,,SG,Gary Harris (10001750),Gary Harris,10001750,SG,6300,DEN@GS 12/23/2017 08:30PM ET,DEN,
,,,,,,,,,SF/PF,Rondae Hollis-Jefferson (10001761),Rondae Hollis-Jefferson,10001761,SF,6200,BKN@IND 12/23/2017 07:00PM ET,BKN,
,,,,,,,,,PG,Jeff Teague (10001758),Jeff Teague,10001758,PG,6200,MIN@PHO 12/23/2017 09:00PM ET,MIN,
,,,,,,,,,SF/PF,James Johnson (10001765),James Johnson,10001765,SF,6200,NO@MIA 12/23/2017 08:00PM ET,MIA,
,,,,,,,,,SF/PF,Thaddeus Young (10001773),Thaddeus Young,10001773,SF,6100,BKN@IND 12/23/2017 07:00PM ET,IND,
,,,,,,,,,PF/C,Zach Randolph (10001769),Zach Randolph,10001769,PF,6100,SA@SAC 12/23/2017 10:00PM ET,SAC,
,,,,,,,,,SF/PF,Kawhi Leonard (10001777),Kawhi Leonard,10001777,SF,6100,SA@SAC 12/23/2017 10:00PM ET,SA,
,,,,,,,,,SG/SF,Andrew Wiggins (10001784),Andrew Wiggins,10001784,SG,6000,MIN@PHO 12/23/2017 09:00PM ET,MIN,
,,,,,,,,,PG,Goran Dragic (10001781),Goran Dragic,10001781,PG,6000,NO@MIA 12/23/2017 08:00PM ET,MIA,
,,,,,,,,,SF/PF,Carmelo Anthony (10001789),Carmelo Anthony,10001789,SF,5900,OKC@UTA 12/23/2017 08:00PM ET,OKC,
,,,,,,,,,PF/C,Taj Gibson (10001804),Taj Gibson,10001804,PF,5900,MIN@PHO 12/23/2017 09:00PM ET,MIN,
,,,,,,,,,PF/C,Pau Gasol (10001797),Pau Gasol,10001797,PF,5900,SA@SAC 12/23/2017 10:00PM ET,SA,
,,,,,,,,,SF/PF,Otto Porter Jr. (10001793),Otto Porter Jr.,10001793,SF,5900,ORL@WAS 12/23/2017 07:00PM ET,WAS,
,,,,,,,,,PG,Elfrid Payton (10001801),Elfrid Payton,10001801,PG,5900,ORL@WAS 12/23/2017 07:00PM ET,ORL,
,,,,,,,,,SG/SF,Dion Waiters (10001808),Dion Waiters,10001808,SG,5900,NO@MIA 12/23/2017 08:00PM ET,MIA,
,,,,,,,,,PF/C,Kelly Olynyk (10001817),Kelly Olynyk,10001817,PF,5900,NO@MIA 12/23/2017 08:00PM ET,MIA,
,,,,,,,,,PG/SG,Jamal Murray (10001813),Jamal Murray,10001813,PG,5900,DEN@GS 12/23/2017 08:30PM ET,DEN,
,,,,,,,,,SG/SF,Evan Fournier (10001826),Evan Fournier,10001826,SG,5800,ORL@WAS 12/23/2017 07:00PM ET,ORL,
,,,,,,,,,SG/SF,Will Barton (10001821),Will Barton,10001821,SG,5800,DEN@GS 12/23/2017 08:30PM ET,DEN,
,,,,,,,,,SF/PF,Jayson Tatum (10001834),Jayson Tatum,10001834,SF,5700,CHI@BOS 12/23/2017 07:30PM ET,BOS,
,,,,,,,,,PG,Ricky Rubio (10001838),Ricky Rubio,10001838,PG,5700,OKC@UTA 12/23/2017 08:00PM ET,UTA,
,,,,,,,,,PF/C,Derrick Favors (10001844),Derrick Favors,10001844,PF,5700,OKC@UTA 12/23/2017 08:00PM ET,UTA,
,,,,,,,,,SG,Kentavious Caldwell-Pope (10001831),Kentavious Caldwell-Pope,10001831,SG,5700,POR@LAL 12/23/2017 09:30PM ET,LAL,
,,,,,,,,,SF/PF,Danilo Gallinari (10001848),Danilo Gallinari,10001848,SF,5700,LAC@MEM 12/23/2017 08:00PM ET,LAC,
,,,,,,,,,PG,Rajon Rondo (10001841),Rajon Rondo,10001841,PG,5700,NO@MIA 12/23/2017 08:00PM ET,NO,
,,,,,,,,,PF/C,Alex Len (10001854),Alex Len,10001854,PF,5600,MIN@PHO 12/23/2017 09:00PM ET,PHO,
,,,,,,,,,C,Marcin Gortat (10001852),Marcin Gortat,10001852,C,5600,ORL@WAS 12/23/2017 07:00PM ET,WAS,
,,,,,,,,,PF/C,John Collins (10001866),John Collins,10001866,PF,5500,DAL@ATL 12/23/2017 07:30PM ET,ATL,
,,,,,,,,,SG/SF,Jaylen Brown (10001861),Jaylen Brown,10001861,SG,5500,CHI@BOS 12/23/2017 07:30PM ET,BOS,
,,,,,,,,,PG,Darren Collison (10001858),Darren Collison,10001858,PG,5500,BKN@IND 12/23/2017 07:00PM ET,IND,
,,,,,,,,,PF/C,Domantas Sabonis (10001870),Domantas Sabonis,10001870,PF,5400,BKN@IND 12/23/2017 07:00PM ET,IND,
,,,,,,,,,PG/SG,Austin Rivers (10001874),Austin Rivers,10001874,PG,5400,LAC@MEM 12/23/2017 08:00PM ET,LAC,
,,,,,,,,,PG/SG,Tyler Johnson (10001878),Tyler Johnson,10001878,PG,5400,NO@MIA 12/23/2017 08:00PM ET,MIA,
,,,,,,,,,C,Dewayne Dedmon (10001887),Dewayne Dedmon,10001887,C,5300,DAL@ATL 12/23/2017 07:30PM ET,ATL,
,,,,,,,,,SG/SF,Justin Holiday (10001882),Justin Holiday,10001882,SG,5300,CHI@BOS 12/23/2017 07:30PM ET,CHI,
,,,,,,,,,SG/SF,Marcus Smart (10001898),Marcus Smart,10001898,SG,5300,CHI@BOS 12/23/2017 07:30PM ET,BOS,
,,,,,,,,,PF/C,Julius Randle (10001894),Julius Randle,10001894,PF,5300,POR@LAL 12/23/2017 09:30PM ET,LAL,
,,,,,,,,,SG/SF,Nicolas Batum (10001889),Nicolas Batum,10001889,SG,5300,MIL@CHA 12/23/2017 07:00PM ET,CHA,
,,,,,,,,,SG/SF,Caris LeVert (10001908),Caris LeVert,10001908,SG,5200,BKN@IND 12/23/2017 07:00PM ET,BKN,
,,,,,,,,,SF/PF,Larry Nance Jr. (10001917),Larry Nance Jr.,10001917,SF,5200,POR@LAL 12/23/2017 09:30PM ET,LAL,
,,,,,,,,,SF/PF,Al-Farouq Aminu (10001925),Al-Farouq Aminu,10001925,SF,5200,POR@LAL 12/23/2017 09:30PM ET,POR,
,,,,,,,,,PF/C,Willie Cauley-Stein (10001913),Willie Cauley-Stein,10001913,PF,5200,SA@SAC 12/23/2017 10:00PM ET,SAC,
,,,,,,,,,SF/PF,Rudy Gay (10001921),Rudy Gay,10001921,SF,5200,SA@SAC 12/23/2017 10:00PM ET,SA,
,,,,,,,,,SG/SF,Jeremy Lamb (10001903),Jeremy Lamb,10001903,SG,5200,MIL@CHA 12/23/2017 07:00PM ET,CHA,
,,,,,,,,,PG/SG,Dennis Smith Jr. (10001932),Dennis Smith Jr.,10001932,PG,5100,DAL@ATL 12/23/2017 07:30PM ET,DAL,
,,,,,,,,,PF,Lauri Markkanen (10001929),Lauri Markkanen,10001929,PF,5100,CHI@BOS 12/23/2017 07:30PM ET,CHI,
,,,,,,,,,PG/SG,Shabazz Napier (10001936),Shabazz Napier,10001936,PG,5100,POR@LAL 12/23/2017 09:30PM ET,POR,
,,,,,,,,,SG/SF,Joe Ingles (10001940),Joe Ingles,10001940,SG,5000,OKC@UTA 12/23/2017 08:00PM ET,UTA,
,,,,,,,,,SG/SF,Danny Green (10001945),Danny Green,10001945,SG,5000,SA@SAC 12/23/2017 10:00PM ET,SA,
,,,,,,,,,SF/PF,Jabari Parker (10001950),Jabari Parker,10001950,SF,5000,MIL@CHA 12/23/2017 07:00PM ET,MIL,
,,,,,,,,,PG/SG,Jordan Clarkson (10001954),Jordan Clarkson,10001954,PG,4900,POR@LAL 12/23/2017 09:30PM ET,LAL,
,,,,,,,,,SG/SF,Denzel Valentine (10001962),Denzel Valentine,10001962,SG,4800,CHI@BOS 12/23/2017 07:30PM ET,CHI,
,,,,,,,,,SF/PF,DeMarre Carroll (10001958),DeMarre Carroll,10001958,SF,4800,BKN@IND 12/23/2017 07:00PM ET,BKN,
,,,,,,,,,PG/SG,Isaiah Canaan (10001967),Isaiah Canaan,10001967,PG,4800,MIN@PHO 12/23/2017 09:00PM ET,PHO,
,,,,,,,,,PF,Mike Scott (10001971),Mike Scott,10001971,PF,4800,ORL@WAS 12/23/2017 07:00PM ET,WAS,
,,,,,,,,,PG/SG,J.J. Barea (10001974),J.J. Barea,10001974,PG,4700,DAL@ATL 12/23/2017 07:30PM ET,DAL,
,,,,,,,,,PG/SG,Zach LaVine (10001995),Zach LaVine,10001995,PG,4700,CHI@BOS 12/23/2017 07:30PM ET,CHI,
,,,,,,,,,PF/C,Greg Monroe (10001983),Greg Monroe,10001983,PF,4700,MIN@PHO 12/23/2017 09:00PM ET,PHO,
,,,,,,,,,PG/SF,Kyle Anderson (10001978),Kyle Anderson,10001978,PG,4700,SA@SAC 12/23/2017 10:00PM ET,SA,
