Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
RB,T.J. Yeldon,4900,Jax@NO 04:05PM ET,13.492,Jax
TE,Gary Barnidge,4700,Cle@KC 01:00PM ET,16.000,Cle
RB,Chris Ivory,4700,NE@NYJ 01:00PM ET,15.185,NYJ
RB,James White,4700,NE@NYJ 01:00PM ET,8.550,NE
WR,Vincent Jackson,4500,Chi@TB 01:00PM ET,11.030,TB
RB,Tim Hightower,4500,Jax@NO 04:05PM ET,5.467,NO
WR,Brandon LaFell,4500,NE@NYJ 01:00PM ET,9.544,NE
RB,Shaun Draughn,4500,SF@Det 01:00PM ET,7.082,SF
RB,Mike Gillislee,4500,Dal@Buf 01:00PM ET,10.633,Buf
WR,Willie Snead,4500,Jax@NO 04:05PM ET,13.262,NO
WR,Tyler Lockett,4500,StL@Sea 04:25PM ET,11.200,Sea
RB,Karlos Williams,4500,Dal@Buf 01:00PM ET,11.433,Buf
RB,Christine Michael,4400,StL@Sea 04:25PM ET,2.450,Sea
WR,Stefon Diggs,4400,NYG@Min 08:30PM ET,13.418,Min
DST,Seahawks ,4300,StL@Sea 04:25PM ET,10.429,Sea
TE,Travis Kelce,4300,Cle@KC 01:00PM ET,12.586,KC
WR,Travis Benjamin,4300,Cle@KC 01:00PM ET,13.893,Cle
RB,Giovani Bernard,4300,Cin@Den 08:30PM ET,12.364,Cin
WR,Donte Moncrief,4300,Ind@Mia 01:00PM ET,12.500,Ind
RB,Cameron Artis-Payne,4300,Car@Atl 01:00PM ET,2.880,Car
DST,Chiefs ,4200,Cle@KC 01:00PM ET,11.000,KC
RB,Ronnie Hillman,4200,Cin@Den 08:30PM ET,9.964,Den
WR,Tavon Austin,4200,StL@Sea 04:25PM ET,13.121,StL
RB,Javorius Allen,4200,Pit@Bal 01:00PM ET,8.250,Bal
WR,Markus Wheaton,4100,Pit@Bal 01:00PM ET,9.436,Pit
RB,Theo Riddick,4100,SF@Det 01:00PM ET,11.243,Det
WR,DeVante Parker,4100,Ind@Mia 01:00PM ET,4.500,Mia
RB,Frank Gore,4000,Ind@Mia 01:00PM ET,11.807,Ind
WR,James Jones,4000,GB@Ari 04:25PM ET,12.229,GB
TE,Zach Miller,4000,Chi@TB 01:00PM ET,6.929,Chi
WR,Kendall Wright,4000,Hou@Ten 01:00PM ET,10.522,Ten
RB,Joique Bell,4000,SF@Det 01:00PM ET,7.973,Det
RB,Spencer Ware,4000,Cle@KC 01:00PM ET,7.856,KC
TE,Richard Rodgers,4000,GB@Ari 04:25PM ET,10.214,GB
WR,Dorial Green-Beckham,4000,Hou@Ten 01:00PM ET,7.771,Ten
TE,Jason Witten,3900,Dal@Buf 01:00PM ET,10.379,Dal
RB,Shane Vereen,3900,NYG@Min 08:30PM ET,9.979,NYG
RB,Bilal Powell,3900,NE@NYJ 01:00PM ET,12.110,NYJ
RB,Terrance West,3900,Pit@Bal 01:00PM ET,3.267,Bal
RB,James Starks,3800,GB@Ari 04:25PM ET,11.786,GB
RB,Brandon Bolden,3800,NE@NYJ 01:00PM ET,4.085,NE
RB,Joey Iosefa,3800,NE@NYJ 01:00PM ET,5.100,NE
RB,Ameer Abdullah,3800,SF@Det 01:00PM ET,7.436,Det
TE,Austin Seferian-Jenkins,3800,Chi@TB 01:00PM ET,12.000,TB
DST,Panthers ,3700,Car@Atl 01:00PM ET,10.714,Car
WR,Anquan Boldin,3700,SF@Det 01:00PM ET,12.592,SF
WR,Marvin Jones,3700,Cin@Den 08:30PM ET,11.343,Cin
RB,Alfred Blue,3700,Hou@Ten 01:00PM ET,7.236,Hou
WR,Rishard Matthews,3700,Ind@Mia 01:00PM ET,12.691,Mia
RB,Antonio Andrews,3700,Hou@Ten 01:00PM ET,9.303,Ten
RB,Isaiah Crowell,3700,Cle@KC 01:00PM ET,8.621,Cle
RB,C.J. Anderson,3700,Cin@Den 08:30PM ET,9.246,Den
RB,Duke Johnson Jr.,3700,Cle@KC 01:00PM ET,10.621,Cle
DST,Bengals ,3600,Cin@Den 08:30PM ET,9.143,Cin
RB,Fozzy Whittaker,3600,Car@Atl 01:00PM ET,2.100,Car
RB,Andre Ellington,3600,GB@Ari 04:25PM ET,8.538,Ari
RB,Bryce Brown,3600,StL@Sea 04:25PM ET,4.300,Sea
WR,Albert Wilson,3600,Cle@KC 01:00PM ET,6.867,KC
WR,Jeremy Butler,3600,Pit@Bal 01:00PM ET,8.133,Bal
WR,Davante Adams,3600,GB@Ari 04:25PM ET,8.155,GB
WR,Marques Colston,3500,Jax@NO 04:05PM ET,9.538,NO
RB,Rashad Jennings,3500,NYG@Min 08:30PM ET,9.193,NYG
RB,Fred Jackson,3500,StL@Sea 04:25PM ET,4.764,Sea
RB,C.J. Spiller,3500,Jax@NO 04:05PM ET,6.238,NO
WR,Kenny Britt,3500,StL@Sea 04:25PM ET,7.150,StL
WR,Rueben Randle,3500,NYG@Min 08:30PM ET,10.986,NYG
TE,Will Tye,3500,NYG@Min 08:30PM ET,7.445,NYG
WR,Robert Woods,3500,Dal@Buf 01:00PM ET,8.729,Buf
WR,Brandon Coleman,3500,Jax@NO 04:05PM ET,4.700,NO
RB,Jerick McKinnon,3500,NYG@Min 08:30PM ET,3.707,Min
DST,Broncos ,3400,Cin@Den 08:30PM ET,12.000,Den
TE,Heath Miller,3400,Pit@Bal 01:00PM ET,8.462,Pit
WR,Andre Johnson,3400,Ind@Mia 01:00PM ET,6.700,Ind
WR,Mike Wallace,3400,NYG@Min 08:30PM ET,6.614,Min
RB,Jeremy Langford,3400,Chi@TB 01:00PM ET,10.064,Chi
WR,Corey Brown,3400,Car@Atl 01:00PM ET,7.317,Car
RB,Tevin Coleman,3400,Car@Atl 01:00PM ET,4.050,Atl
WR,Devin Funchess,3400,Car@Atl 01:00PM ET,5.950,Car
DST,Cardinals ,3300,GB@Ari 04:25PM ET,9.857,Ari
WR,Harry Douglas,3300,Hou@Ten 01:00PM ET,5.892,Ten
RB,Robert Turbin,3300,Dal@Buf 01:00PM ET,3.925,Dal
RB,Chris Polk,3300,Hou@Ten 01:00PM ET,5.238,Hou
WR,Terrance Williams,3300,Dal@Buf 01:00PM ET,8.464,Dal
RB,Derrick Coleman,3300,StL@Sea 04:25PM ET,0.350,Sea
TE,Kyle Rudolph,3300,NYG@Min 08:30PM ET,8.443,Min
RB,Charles Sims,3300,Chi@TB 01:00PM ET,10.243,TB
RB,Orleans Darkwa,3300,NYG@Min 08:30PM ET,1.714,NYG
