QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,WR,Zay Jones (9758025),Zay Jones,9758025,WR,3500,NO@BUF 11/12/2017 01:00PM ET,BUF,
,,,,,,,,,,WR,Geronimo Allison (9758128),Geronimo Allison,9758128,WR,3500,GB@CHI 11/12/2017 01:00PM ET,GB,
,,,,,,,,,,RB,Branden Oliver (9758276),Branden Oliver,9758276,RB,3500,LAC@JAX 11/12/2017 01:00PM ET,LAC,
,,,,,,,,,,WR,Travis Benjamin (9758288),Travis Benjamin,9758288,WR,3500,LAC@JAX 11/12/2017 01:00PM ET,LAC,
,,,,,,,,,,WR,Dede Westbrook (9758319),Dede Westbrook,9758319,WR,3500,LAC@JAX 11/12/2017 01:00PM ET,JAX,
,,,,,,,,,,WR,Terrelle Pryor Sr. (9758511),Terrelle Pryor Sr.,9758511,WR,3500,MIN@WAS 11/12/2017 01:00PM ET,WAS,
,,,,,,,,,,WR,Taylor Gabriel (9758602),Taylor Gabriel,9758602,WR,3500,DAL@ATL 11/12/2017 04:25PM ET,ATL,
,,,,,,,,,,RB,Wayne Gallman (9758659),Wayne Gallman,9758659,RB,3500,NYG@SF 11/12/2017 04:25PM ET,NYG,
,,,,,,,,,,DST,Saints  (9758073),Saints ,9758073,DST,3400,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,WR,Tyrell Williams (9758286),Tyrell Williams,9758286,WR,3400,LAC@JAX 11/12/2017 01:00PM ET,LAC,
,,,,,,,,,,WR,Jeremy Kerley (9758351),Jeremy Kerley,9758351,WR,3400,NYJ@TB 11/12/2017 01:00PM ET,NYJ,
,,,,,,,,,,RB,Charles Sims (9758375),Charles Sims,9758375,RB,3400,NYJ@TB 11/12/2017 01:00PM ET,TB,
,,,,,,,,,,RB,Rob Kelley (9758503),Rob Kelley,9758503,RB,3400,MIN@WAS 11/12/2017 01:00PM ET,WAS,
,,,,,,,,,,TE,C.J. Fiedorowicz (9758549),C.J. Fiedorowicz,9758549,TE,3400,HOU@LAR 11/12/2017 04:05PM ET,HOU,
,,,,,,,,,,RB,Rod Smith (9758627),Rod Smith,9758627,RB,3400,DAL@ATL 11/12/2017 04:25PM ET,DAL,
,,,,,,,,,,WR,Willie Snead (9758059),Willie Snead,9758059,WR,3300,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,WR,Jeff Janis (9758130),Jeff Janis,9758130,WR,3300,GB@CHI 11/12/2017 01:00PM ET,GB,
,,,,,,,,,,DST,Packers  (9758140),Packers ,9758140,DST,3300,GB@CHI 11/12/2017 01:00PM ET,GB,
,,,,,,,,,,RB,Peyton Barber (9758377),Peyton Barber,9758377,RB,3300,NYJ@TB 11/12/2017 01:00PM ET,TB,
,,,,,,,,,,RB,Samaje Perine (9758505),Samaje Perine,9758505,RB,3300,MIN@WAS 11/12/2017 01:00PM ET,WAS,
,,,,,,,,,,WR,Kendall Wright (9758087),Kendall Wright,9758087,WR,3200,GB@CHI 11/12/2017 01:00PM ET,CHI,
,,,,,,,,,,WR,Ricardo Louis (9758156),Ricardo Louis,9758156,WR,3200,CLE@DET 11/12/2017 01:00PM ET,CLE,
,,,,,,,,,,WR,John Ross (9758421),John Ross,9758421,WR,3200,CIN@TEN 11/12/2017 01:00PM ET,CIN,
,,,,,,,,,,RB,Paul Perkins (9758661),Paul Perkins,9758661,RB,3200,NYG@SF 11/12/2017 04:25PM ET,NYG,
,,,,,,,,,,WR,Tavarres King (9758671),Tavarres King,9758671,WR,3200,NYG@SF 11/12/2017 04:25PM ET,NYG,
,,,,,,,,,,DST,Giants  (9758683),Giants ,9758683,DST,3200,NYG@SF 11/12/2017 04:25PM ET,NYG,
,,,,,,,,,,TE,George Kittle (9758704),George Kittle,9758704,TE,3200,NYG@SF 11/12/2017 04:25PM ET,SF,
,,,,,,,,,,WR,Brandon Coleman (9758061),Brandon Coleman,9758061,WR,3100,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,WR,Tre McBride (9758095),Tre McBride,9758095,WR,3100,GB@CHI 11/12/2017 01:00PM ET,CHI,
,,,,,,,,,,TE,Eric Ebron (9758203),Eric Ebron,9758203,TE,3100,CLE@DET 11/12/2017 01:00PM ET,DET,
,,,,,,,,,,WR,Mike Williams (9758290),Mike Williams,9758290,WR,3100,LAC@JAX 11/12/2017 01:00PM ET,LAC,
,,,,,,,,,,WR,Adam Humphries (9758383),Adam Humphries,9758383,WR,3100,NYJ@TB 11/12/2017 01:00PM ET,TB,
,,,,,,,,,,RB,Giovani Bernard (9758403),Giovani Bernard,9758403,RB,3100,CIN@TEN 11/12/2017 01:00PM ET,CIN,
,,,,,,,,,,WR,Laquon Treadwell (9758482),Laquon Treadwell,9758482,WR,3100,MIN@WAS 11/12/2017 01:00PM ET,MIN,
,,,,,,,,,,DST,Vikings  (9758498),Vikings ,9758498,DST,3100,MIN@WAS 11/12/2017 01:00PM ET,MIN,
,,,,,,,,,,RB,Shane Vereen (9758663),Shane Vereen,9758663,RB,3100,NYG@SF 11/12/2017 04:25PM ET,NYG,
,,,,,,,,,,WR,Roger Lewis (9758667),Roger Lewis,9758667,WR,3100,NYG@SF 11/12/2017 04:25PM ET,NYG,
,,,,,,,,,,RB,Patrick DiMarco (9758015),Patrick DiMarco,9758015,RB,3000,NO@BUF 11/12/2017 01:00PM ET,BUF,
,,,,,,,,,,RB,Travaris Cadet (9758017),Travaris Cadet,9758017,RB,3000,NO@BUF 11/12/2017 01:00PM ET,BUF,
,,,,,,,,,,WR,Andre Holmes (9758027),Andre Holmes,9758027,WR,3000,NO@BUF 11/12/2017 01:00PM ET,BUF,
,,,,,,,,,,WR,Walter Powell (9758029),Walter Powell,9758029,WR,3000,NO@BUF 11/12/2017 01:00PM ET,BUF,
,,,,,,,,,,WR,Brandon Tate (9758031),Brandon Tate,9758031,WR,3000,NO@BUF 11/12/2017 01:00PM ET,BUF,
,,,,,,,,,,RB,Daniel Lasco II (9758049),Daniel Lasco II,9758049,RB,3000,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,RB,Trey Edmunds (9758051),Trey Edmunds,9758051,RB,3000,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,RB,Zach Line (9758053),Zach Line,9758053,RB,3000,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,WR,Tommylee Lewis (9758063),Tommylee Lewis,9758063,WR,3000,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,WR,Austin Carr (9758065),Austin Carr,9758065,WR,3000,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,RB,Benny Cunningham (9758081),Benny Cunningham,9758081,RB,3000,GB@CHI 11/12/2017 01:00PM ET,CHI,
,,,,,,,,,,RB,Taquan Mizzell (9758083),Taquan Mizzell,9758083,RB,3000,GB@CHI 11/12/2017 01:00PM ET,CHI,
,,,,,,,,,,RB,Michael Burton (9758085),Michael Burton,9758085,RB,3000,GB@CHI 11/12/2017 01:00PM ET,CHI,
,,,,,,,,,,WR,Markus Wheaton (9758089),Markus Wheaton,9758089,WR,3000,GB@CHI 11/12/2017 01:00PM ET,CHI,
,,,,,,,,,,WR,Tanner Gentry (9758091),Tanner Gentry,9758091,WR,3000,GB@CHI 11/12/2017 01:00PM ET,CHI,
,,,,,,,,,,WR,Josh Bellamy (9758093),Josh Bellamy,9758093,WR,3000,GB@CHI 11/12/2017 01:00PM ET,CHI,
,,,,,,,,,,WR,Dontrelle Inman (9758097),Dontrelle Inman,9758097,WR,3000,GB@CHI 11/12/2017 01:00PM ET,CHI,
,,,,,,,,,,DST,Bears  (9758109),Bears ,9758109,DST,3000,GB@CHI 11/12/2017 01:00PM ET,CHI,
,,,,,,,,,,RB,Devante Mays (9758118),Devante Mays,9758118,RB,3000,GB@CHI 11/12/2017 01:00PM ET,GB,
,,,,,,,,,,RB,Aaron Ripkowski (9758120),Aaron Ripkowski,9758120,RB,3000,GB@CHI 11/12/2017 01:00PM ET,GB,
,,,,,,,,,,WR,Trevor Davis (9758132),Trevor Davis,9758132,WR,3000,GB@CHI 11/12/2017 01:00PM ET,GB,
,,,,,,,,,,TE,Martellus Bennett (9758134),Martellus Bennett,9758134,TE,3000,GB@CHI 11/12/2017 01:00PM ET,GB,
,,,,,,,,,,RB,Danny Vitale (9758148),Danny Vitale,9758148,RB,3000,CLE@DET 11/12/2017 01:00PM ET,CLE,
,,,,,,,,,,RB,Matthew Dayes (9758150),Matthew Dayes,9758150,RB,3000,CLE@DET 11/12/2017 01:00PM ET,CLE,
,,,,,,,,,,WR,Kenny Britt (9758158),Kenny Britt,9758158,WR,3000,CLE@DET 11/12/2017 01:00PM ET,CLE,
,,,,,,,,,,WR,Kasen Williams (9758160),Kasen Williams,9758160,WR,3000,CLE@DET 11/12/2017 01:00PM ET,CLE,
,,,,,,,,,,WR,James Wright (9758162),James Wright,9758162,WR,3000,CLE@DET 11/12/2017 01:00PM ET,CLE,
,,,,,,,,,,WR,Rashard Higgins (9758164),Rashard Higgins,9758164,WR,3000,CLE@DET 11/12/2017 01:00PM ET,CLE,
,,,,,,,,,,WR,Sammie Coates (9758166),Sammie Coates,9758166,WR,3000,CLE@DET 11/12/2017 01:00PM ET,CLE,
,,,,,,,,,,WR,Bryce Treggs (9758168),Bryce Treggs,9758168,WR,3000,CLE@DET 11/12/2017 01:00PM ET,CLE,
,,,,,,,,,,RB,Tion Green (9758189),Tion Green,9758189,RB,3000,CLE@DET 11/12/2017 01:00PM ET,DET,
,,,,,,,,,,WR,Jace Billingsley (9758199),Jace Billingsley,9758199,WR,3000,CLE@DET 11/12/2017 01:00PM ET,DET,
,,,,,,,,,,WR,Jared Abbrederis (9758201),Jared Abbrederis,9758201,WR,3000,CLE@DET 11/12/2017 01:00PM ET,DET,
,,,,,,,,,,RB,George Winn (9758216),George Winn,9758216,RB,3000,PIT@IND 11/12/2017 01:00PM ET,IND,
,,,,,,,,,,RB,Matt Jones (9758218),Matt Jones,9758218,RB,3000,PIT@IND 11/12/2017 01:00PM ET,IND,
,,,,,,,,,,RB,Josh Ferguson (9758220),Josh Ferguson,9758220,RB,3000,PIT@IND 11/12/2017 01:00PM ET,IND,
,,,,,,,,,,WR,Donte Moncrief (9758224),Donte Moncrief,9758224,WR,3000,PIT@IND 11/12/2017 01:00PM ET,IND,
,,,,,,,,,,WR,Quan Bray (9758226),Quan Bray,9758226,WR,3000,PIT@IND 11/12/2017 01:00PM ET,IND,
,,,,,,,,,,WR,Chester Rogers (9758228),Chester Rogers,9758228,WR,3000,PIT@IND 11/12/2017 01:00PM ET,IND,
,,,,,,,,,,WR,Kamar Aiken (9758230),Kamar Aiken,9758230,WR,3000,PIT@IND 11/12/2017 01:00PM ET,IND,
,,,,,,,,,,RB,Roosevelt Nix (9758248),Roosevelt Nix,9758248,RB,3000,PIT@IND 11/12/2017 01:00PM ET,PIT,
,,,,,,,,,,RB,Terrell Watson (9758250),Terrell Watson,9758250,RB,3000,PIT@IND 11/12/2017 01:00PM ET,PIT,
,,,,,,,,,,WR,Darrius Heyward-Bey (9758258),Darrius Heyward-Bey,9758258,WR,3000,PIT@IND 11/12/2017 01:00PM ET,PIT,
,,,,,,,,,,WR,Eli Rogers (9758260),Eli Rogers,9758260,WR,3000,PIT@IND 11/12/2017 01:00PM ET,PIT,
,,,,,,,,,,WR,Justin Hunter (9758262),Justin Hunter,9758262,WR,3000,PIT@IND 11/12/2017 01:00PM ET,PIT,
,,,,,,,,,,RB,Andre Williams (9758280),Andre Williams,9758280,RB,3000,LAC@JAX 11/12/2017 01:00PM ET,LAC,
,,,,,,,,,,RB,Derek Watt (9758282),Derek Watt,9758282,RB,3000,LAC@JAX 11/12/2017 01:00PM ET,LAC,
,,,,,,,,,,WR,Geremy Davis (9758292),Geremy Davis,9758292,WR,3000,LAC@JAX 11/12/2017 01:00PM ET,LAC,
,,,,,,,,,,RB,Corey Grant (9758311),Corey Grant,9758311,RB,3000,LAC@JAX 11/12/2017 01:00PM ET,JAX,
,,,,,,,,,,RB,Tommy Bohanon (9758313),Tommy Bohanon,9758313,RB,3000,LAC@JAX 11/12/2017 01:00PM ET,JAX,
,,,,,,,,,,WR,Jaydon Mickens (9758321),Jaydon Mickens,9758321,WR,3000,LAC@JAX 11/12/2017 01:00PM ET,JAX,
,,,,,,,,,,WR,Jaelen Strong (9758323),Jaelen Strong,9758323,WR,3000,LAC@JAX 11/12/2017 01:00PM ET,JAX,
,,,,,,,,,,WR,Keelan Cole (9758325),Keelan Cole,9758325,WR,3000,LAC@JAX 11/12/2017 01:00PM ET,JAX,
,,,,,,,,,,WR,Arrelious Benn (9758327),Arrelious Benn,9758327,WR,3000,LAC@JAX 11/12/2017 01:00PM ET,JAX,
,,,,,,,,,,RB,Lawrence Thomas (9758345),Lawrence Thomas,9758345,RB,3000,NYJ@TB 11/12/2017 01:00PM ET,NYJ,
,,,,,,,,,,WR,ArDarius Stewart (9758353),ArDarius Stewart,9758353,WR,3000,NYJ@TB 11/12/2017 01:00PM ET,NYJ,
,,,,,,,,,,WR,Jalin Marshall (9758355),Jalin Marshall,9758355,WR,3000,NYJ@TB 11/12/2017 01:00PM ET,NYJ,
,,,,,,,,,,WR,Lucky Whitehead (9758357),Lucky Whitehead,9758357,WR,3000,NYJ@TB 11/12/2017 01:00PM ET,NYJ,
,,,,,,,,,,WR,Chad Hansen (9758359),Chad Hansen,9758359,WR,3000,NYJ@TB 11/12/2017 01:00PM ET,NYJ,
,,,,,,,,,,WR,Bernard Reedy (9758385),Bernard Reedy,9758385,WR,3000,NYJ@TB 11/12/2017 01:00PM ET,TB,
,,,,,,,,,,WR,Chris Godwin (9758387),Chris Godwin,9758387,WR,3000,NYJ@TB 11/12/2017 01:00PM ET,TB,
,,,,,,,,,,RB,Jeremy Hill (9758405),Jeremy Hill,9758405,RB,3000,CIN@TEN 11/12/2017 01:00PM ET,CIN,
,,,,,,,,,,RB,Tra Carson (9758407),Tra Carson,9758407,RB,3000,CIN@TEN 11/12/2017 01:00PM ET,CIN,
,,,,,,,,,,WR,Alex Erickson (9758413),Alex Erickson,9758413,WR,3000,CIN@TEN 11/12/2017 01:00PM ET,CIN,
,,,,,,,,,,WR,Cody Core (9758415),Cody Core,9758415,WR,3000,CIN@TEN 11/12/2017 01:00PM ET,CIN,
,,,,,,,,,,WR,Josh Malone (9758417),Josh Malone,9758417,WR,3000,CIN@TEN 11/12/2017 01:00PM ET,CIN,
,,,,,,,,,,WR,Tyler Boyd (9758419),Tyler Boyd,9758419,WR,3000,CIN@TEN 11/12/2017 01:00PM ET,CIN,
,,,,,,,,,,RB,David Fluellen (9758441),David Fluellen,9758441,RB,3000,CIN@TEN 11/12/2017 01:00PM ET,TEN,
,,,,,,,,,,RB,Jalston Fowler (9758443),Jalston Fowler,9758443,RB,3000,CIN@TEN 11/12/2017 01:00PM ET,TEN,
,,,,,,,,,,WR,Taywan Taylor (9758451),Taywan Taylor,9758451,WR,3000,CIN@TEN 11/12/2017 01:00PM ET,TEN,
,,,,,,,,,,WR,Darius Jennings (9758453),Darius Jennings,9758453,WR,3000,CIN@TEN 11/12/2017 01:00PM ET,TEN,
,,,,,,,,,,WR,Eric Weems (9758455),Eric Weems,9758455,WR,3000,CIN@TEN 11/12/2017 01:00PM ET,TEN,
,,,,,,,,,,RB,C.J. Ham (9758474),C.J. Ham,9758474,RB,3000,MIN@WAS 11/12/2017 01:00PM ET,MIN,
,,,,,,,,,,RB,Mack Brown (9758476),Mack Brown,9758476,RB,3000,MIN@WAS 11/12/2017 01:00PM ET,MIN,
,,,,,,,,,,WR,Jarius Wright (9758484),Jarius Wright,9758484,WR,3000,MIN@WAS 11/12/2017 01:00PM ET,MIN,
,,,,,,,,,,WR,Michael Floyd (9758486),Michael Floyd,9758486,WR,3000,MIN@WAS 11/12/2017 01:00PM ET,MIN,
,,,,,,,,,,WR,Stacy Coley (9758488),Stacy Coley,9758488,WR,3000,MIN@WAS 11/12/2017 01:00PM ET,MIN,
,,,,,,,,,,WR,Brian Quick (9758515),Brian Quick,9758515,WR,3000,MIN@WAS 11/12/2017 01:00PM ET,WAS,
,,,,,,,,,,RB,Jay Prosch (9758535),Jay Prosch,9758535,RB,3000,HOU@LAR 11/12/2017 04:05PM ET,HOU,
,,,,,,,,,,RB,Jordan Todman (9758537),Jordan Todman,9758537,RB,3000,HOU@LAR 11/12/2017 04:05PM ET,HOU,
,,,,,,,,,,WR,Bruce Ellington (9758543),Bruce Ellington,9758543,WR,3000,HOU@LAR 11/12/2017 04:05PM ET,HOU,
,,,,,,,,,,WR,Chris Thompson (9758545),Chris Thompson,9758545,WR,3000,HOU@LAR 11/12/2017 04:05PM ET,HOU,
,,,,,,,,,,WR,Braxton Miller (9758547),Braxton Miller,9758547,WR,3000,HOU@LAR 11/12/2017 04:05PM ET,HOU,
,,,,,,,,,,RB,Justin Davis (9758563),Justin Davis,9758563,RB,3000,HOU@LAR 11/12/2017 04:05PM ET,LAR,
,,,,,,,,,,RB,Lance Dunbar (9758565),Lance Dunbar,9758565,RB,3000,HOU@LAR 11/12/2017 04:05PM ET,LAR,
,,,,,,,,,,WR,Tavon Austin (9758573),Tavon Austin,9758573,WR,3000,HOU@LAR 11/12/2017 04:05PM ET,LAR,
,,,,,,,,,,WR,Josh Reynolds (9758575),Josh Reynolds,9758575,WR,3000,HOU@LAR 11/12/2017 04:05PM ET,LAR,
,,,,,,,,,,WR,Pharoh Cooper (9758577),Pharoh Cooper,9758577,WR,3000,HOU@LAR 11/12/2017 04:05PM ET,LAR,
,,,,,,,,,,WR,Michael Thomas (9758579),Michael Thomas,9758579,WR,3000,HOU@LAR 11/12/2017 04:05PM ET,LAR,
,,,,,,,,,,RB,Derrick Coleman (9758594),Derrick Coleman,9758594,RB,3000,DAL@ATL 11/12/2017 04:25PM ET,ATL,
,,,,,,,,,,RB,Terron Ward (9758596),Terron Ward,9758596,RB,3000,DAL@ATL 11/12/2017 04:25PM ET,ATL,
,,,,,,,,,,WR,Justin Hardy (9758604),Justin Hardy,9758604,WR,3000,DAL@ATL 11/12/2017 04:25PM ET,ATL,
,,,,,,,,,,WR,Andre Roberts (9758606),Andre Roberts,9758606,WR,3000,DAL@ATL 11/12/2017 04:25PM ET,ATL,
,,,,,,,,,,WR,Marvin Hall (9758608),Marvin Hall,9758608,WR,3000,DAL@ATL 11/12/2017 04:25PM ET,ATL,
,,,,,,,,,,WR,Nick Williams (9758610),Nick Williams,9758610,WR,3000,DAL@ATL 11/12/2017 04:25PM ET,ATL,
,,,,,,,,,,TE,Austin Hooper (9758612),Austin Hooper,9758612,TE,3000,DAL@ATL 11/12/2017 04:25PM ET,ATL,
,,,,,,,,,,RB,Keith Smith (9758629),Keith Smith,9758629,RB,3000,DAL@ATL 11/12/2017 04:25PM ET,DAL,
,,,,,,,,,,WR,Noah Brown (9758639),Noah Brown,9758639,WR,3000,DAL@ATL 11/12/2017 04:25PM ET,DAL,
,,,,,,,,,,WR,Ryan Switzer (9758641),Ryan Switzer,9758641,WR,3000,DAL@ATL 11/12/2017 04:25PM ET,DAL,
,,,,,,,,,,WR,Travis Rudolph (9758669),Travis Rudolph,9758669,WR,3000,NYG@SF 11/12/2017 04:25PM ET,NYG,
,,,,,,,,,,WR,Ed Eagan (9758673),Ed Eagan,9758673,WR,3000,NYG@SF 11/12/2017 04:25PM ET,NYG,
,,,,,,,,,,RB,Raheem Mostert (9758690),Raheem Mostert,9758690,RB,3000,NYG@SF 11/12/2017 04:25PM ET,SF,
,,,,,,,,,,RB,Kyle Juszczyk (9758692),Kyle Juszczyk,9758692,RB,3000,NYG@SF 11/12/2017 04:25PM ET,SF,
,,,,,,,,,,WR,Victor Bolden Jr. (9758698),Victor Bolden Jr.,9758698,WR,3000,NYG@SF 11/12/2017 04:25PM ET,SF,
,,,,,,,,,,WR,Trent Taylor (9758700),Trent Taylor,9758700,WR,3000,NYG@SF 11/12/2017 04:25PM ET,SF,
,,,,,,,,,,WR,Kendrick Bourne (9758702),Kendrick Bourne,9758702,WR,3000,NYG@SF 11/12/2017 04:25PM ET,SF,
,,,,,,,,,,TE,Nick O'Leary (9758035),Nick O'Leary,9758035,TE,2900,NO@BUF 11/12/2017 01:00PM ET,BUF,
,,,,,,,,,,DST,Buccaneers  (9758397),Buccaneers ,9758397,DST,2900,NYJ@TB 11/12/2017 01:00PM ET,TB,
,,,,,,,,,,DST,Redskins  (9758525),Redskins ,9758525,DST,2900,MIN@WAS 11/12/2017 01:00PM ET,WAS,
,,,,,,,,,,TE,Jesse James (9758264),Jesse James,9758264,TE,2800,PIT@IND 11/12/2017 01:00PM ET,PIT,
,,,,,,,,,,DST,Jets  (9758367),Jets ,9758367,DST,2800,NYJ@TB 11/12/2017 01:00PM ET,NYJ,
,,,,,,,,,,DST,Titans  (9758465),Titans ,9758465,DST,2800,CIN@TEN 11/12/2017 01:00PM ET,TEN,
,,,,,,,,,,TE,Tyler Higbee (9758581),Tyler Higbee,9758581,TE,2800,HOU@LAR 11/12/2017 04:05PM ET,LAR,
,,,,,,,,,,TE,Antonio Gates (9758296),Antonio Gates,9758296,TE,2700,LAC@JAX 11/12/2017 01:00PM ET,LAC,
,,,,,,,,,,DST,Chargers  (9758302),Chargers ,9758302,DST,2700,LAC@JAX 11/12/2017 01:00PM ET,LAC,
,,,,,,,,,,TE,Ryan Griffin (9758551),Ryan Griffin,9758551,TE,2700,HOU@LAR 11/12/2017 04:05PM ET,HOU,
,,,,,,,,,,TE,Coby Fleener (9758067),Coby Fleener,9758067,TE,2600,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,TE,Dion Sims (9758105),Dion Sims,9758105,TE,2600,GB@CHI 11/12/2017 01:00PM ET,CHI,
,,,,,,,,,,TE,David Njoku (9758170),David Njoku,9758170,TE,2600,CLE@DET 11/12/2017 01:00PM ET,CLE,
,,,,,,,,,,TE,Jonnu Smith (9758459),Jonnu Smith,9758459,TE,2600,CIN@TEN 11/12/2017 01:00PM ET,TEN,
,,,,,,,,,,TE,Niles Paul (9758521),Niles Paul,9758521,TE,2600,MIN@WAS 11/12/2017 01:00PM ET,WAS,
,,,,,,,,,,DST,49ers  (9758712),49ers ,9758712,DST,2600,NYG@SF 11/12/2017 04:25PM ET,SF,
,,,,,,,,,,TE,Logan Thomas (9758037),Logan Thomas,9758037,TE,2500,NO@BUF 11/12/2017 01:00PM ET,BUF,
,,,,,,,,,,TE,Khari Lee (9758039),Khari Lee,9758039,TE,2500,NO@BUF 11/12/2017 01:00PM ET,BUF,
,,,,,,,,,,TE,Michael Hoomanawanui (9758069),Michael Hoomanawanui,9758069,TE,2500,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,TE,Josh Hill (9758071),Josh Hill,9758071,TE,2500,NO@BUF 11/12/2017 01:00PM ET,NO,
,,,,,,,,,,TE,Zach Miller (9758099),Zach Miller,9758099,TE,2500,GB@CHI 11/12/2017 01:00PM ET,CHI,
,,,,,,,,,,TE,Andrew DePaola (9758101),Andrew DePaola,9758101,TE,2500,GB@CHI 11/12/2017 01:00PM ET,CHI,
,,,,,,,,,,TE,Daniel Brown (9758103),Daniel Brown,9758103,TE,2500,GB@CHI 11/12/2017 01:00PM ET,CHI,
,,,,,,,,,,TE,Adam Shaheen (9758107),Adam Shaheen,9758107,TE,2500,GB@CHI 11/12/2017 01:00PM ET,CHI,
,,,,,,,,,,TE,Lance Kendricks (9758136),Lance Kendricks,9758136,TE,2500,GB@CHI 11/12/2017 01:00PM ET,GB,
,,,,,,,,,,TE,Richard Rodgers (9758138),Richard Rodgers,9758138,TE,2500,GB@CHI 11/12/2017 01:00PM ET,GB,
,,,,,,,,,,TE,Seth DeValve (9758172),Seth DeValve,9758172,TE,2500,CLE@DET 11/12/2017 01:00PM ET,CLE,
,,,,,,,,,,TE,Randall Telfer (9758174),Randall Telfer,9758174,TE,2500,CLE@DET 11/12/2017 01:00PM ET,CLE,
,,,,,,,,,,TE,Matt Lengel (9758176),Matt Lengel,9758176,TE,2500,CLE@DET 11/12/2017 01:00PM ET,CLE,
,,,,,,,,,,TE,Michael Roberts (9758205),Michael Roberts,9758205,TE,2500,CLE@DET 11/12/2017 01:00PM ET,DET,
,,,,,,,,,,TE,Darren Fells (9758207),Darren Fells,9758207,TE,2500,CLE@DET 11/12/2017 01:00PM ET,DET,
,,,,,,,,,,TE,Darrell Daniels (9758234),Darrell Daniels,9758234,TE,2500,PIT@IND 11/12/2017 01:00PM ET,IND,
,,,,,,,,,,TE,Brandon Williams (9758236),Brandon Williams,9758236,TE,2500,PIT@IND 11/12/2017 01:00PM ET,IND,
,,,,,,,,,,TE,Erik Swoope (9758238),Erik Swoope,9758238,TE,2500,PIT@IND 11/12/2017 01:00PM ET,IND,
,,,,,,,,,,TE,Vance McDonald (9758266),Vance McDonald,9758266,TE,2500,PIT@IND 11/12/2017 01:00PM ET,PIT,
,,,,,,,,,,TE,Xavier Grimble (9758268),Xavier Grimble,9758268,TE,2500,PIT@IND 11/12/2017 01:00PM ET,PIT,
,,,,,,,,,,TE,Sean Culkin (9758298),Sean Culkin,9758298,TE,2500,LAC@JAX 11/12/2017 01:00PM ET,LAC,
,,,,,,,,,,TE,Sean McGrath (9758300),Sean McGrath,9758300,TE,2500,LAC@JAX 11/12/2017 01:00PM ET,LAC,
,,,,,,,,,,TE,Marcedes Lewis (9758329),Marcedes Lewis,9758329,TE,2500,LAC@JAX 11/12/2017 01:00PM ET,JAX,
,,,,,,,,,,TE,James O'Shaughnessy (9758331),James O'Shaughnessy,9758331,TE,2500,LAC@JAX 11/12/2017 01:00PM ET,JAX,
,,,,,,,,,,TE,Ben Koyack (9758333),Ben Koyack,9758333,TE,2500,LAC@JAX 11/12/2017 01:00PM ET,JAX,
,,,,,,,,,,TE,Neal Sterling (9758363),Neal Sterling,9758363,TE,2500,NYJ@TB 11/12/2017 01:00PM ET,NYJ,
,,,,,,,,,,TE,Eric Tomlinson (9758365),Eric Tomlinson,9758365,TE,2500,NYJ@TB 11/12/2017 01:00PM ET,NYJ,
,,,,,,,,,,TE,O.J. Howard (9758391),O.J. Howard,9758391,TE,2500,NYJ@TB 11/12/2017 01:00PM ET,TB,
,,,,,,,,,,TE,Antony Auclair (9758393),Antony Auclair,9758393,TE,2500,NYJ@TB 11/12/2017 01:00PM ET,TB,
,,,,,,,,,,TE,Luke Stocker (9758395),Luke Stocker,9758395,TE,2500,NYJ@TB 11/12/2017 01:00PM ET,TB,
,,,,,,,,,,TE,Ryan Hewitt (9758425),Ryan Hewitt,9758425,TE,2500,CIN@TEN 11/12/2017 01:00PM ET,CIN,
,,,,,,,,,,TE,Cethan Carter (9758427),Cethan Carter,9758427,TE,2500,CIN@TEN 11/12/2017 01:00PM ET,CIN,
,,,,,,,,,,TE,Clark Harris (9758429),Clark Harris,9758429,TE,2500,CIN@TEN 11/12/2017 01:00PM ET,CIN,
,,,,,,,,,,TE,C.J. Uzomah (9758431),C.J. Uzomah,9758431,TE,2500,CIN@TEN 11/12/2017 01:00PM ET,CIN,
,,,,,,,,,,DST,Bengals  (9758433),Bengals ,9758433,DST,2500,CIN@TEN 11/12/2017 01:00PM ET,CIN,
