playername,points
Matt Wieters,7.97
Adeiny Hechavarria,7
C.J. Cron,8.76
Mookie Betts,12.73
Hanley Ramirez,10.67
Xander Bogaerts,10.13
J.D. Martinez,12.36
Carlos Gomez,9.07
Rafael Devers,9.12
Wilmer Difo,6.22
Adrian Sanchez,7.27
Chris Owings,7.92
Denard Span,7.73
Mitch Moreland,10.07
Andrew Benintendi,11.9
Jose Peraza,9.48
Francisco Liriano,27.61
Andrew Cashner,25.19
Trevor Williams,28.95
Jack Flaherty,28.03
Nicholas Pivetta,29.7
Michael Foltynewicz,29.72
Daniel Mengden,21.44
Lance McCullers,37.53
Masahiro Tanaka,32.25
Garrett Richards,33.58
Jason Vargas,24.96
Joey Lucchesi,27.71
Caleb Smith,26.86
German Marquez,28.96
Carlos Carrasco,41.52
Mike Leake,24.58
Jose Quintana,33.29
Chris Stratton,30.97
Junior Guerra,30.2
Trevor Oaks,19.67
Sal Romano,23.6
Carson Fulmer,25.77
Walker Buehler,29.36
Jeremy Hellickson,24.2
Jaime Garcia,28.71
Bartolo Colon,18.45
David Price,38.48
Yonny Chirinos,21.97
Patrick Corbin,36.03
Jake Odorizzi,26.16
