P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,SP,Taijuan Walker (10577096),Taijuan Walker,10577096,P,7700,SD@ARI 04/21/2018 08:10PM ET,ARI,8.42
,,,,,,,,,,,SP,Zack Wheeler (10577095),Zack Wheeler,10577095,P,7700,NYM@ATL 04/21/2018 07:10PM ET,NYM,17.72
,,,,,,,,,,,SP,Garrett Richards (10576559),Garrett Richards,10576559,P,7700,SF@LAA 04/21/2018 09:07PM ET,LAA,16.9
,,,,,,,,,,,SP,Jon Gray (10577097),Jon Gray,10577097,P,7600,CHC@COL 04/21/2018 08:10PM ET,COL,9
,,,,,,,,,,,SP,Carlos Rodon (10577098),Carlos Rodon,10577098,P,7500,HOU@CWS 04/21/2018 07:10PM ET,CWS,0
,,,,,,,,,,,SP,Sean Manaea (10576560),Sean Manaea,10576560,P,7500,BOS@OAK 04/21/2018 09:05PM ET,OAK,21.91
,,,,,,,,,,,SP,Tyler Skaggs (10577099),Tyler Skaggs,10577099,P,7400,SF@LAA 04/21/2018 09:07PM ET,LAA,15.09
,,,,,,,,,,,SP,Eduardo Rodriguez (10577100),Eduardo Rodriguez,10577100,P,7300,BOS@OAK 04/21/2018 09:05PM ET,BOS,19.75
,,,,,,,,,,,SP,Mike Foltynewicz (10577101),Mike Foltynewicz,10577101,P,7200,NYM@ATL 04/21/2018 07:10PM ET,ATL,18.8
,,,,,,,,,,,SP,Zach Davies (10577103),Zach Davies,10577103,P,7000,MIA@MIL 04/21/2018 07:10PM ET,MIL,12.91
,,,,,,,,,,,SP,Matt Shoemaker (10577102),Matt Shoemaker,10577102,P,7000,SF@LAA 04/21/2018 09:07PM ET,LAA,13.95
,,,,,,,,,,,SP,Steven Matz (10577104),Steven Matz,10577104,P,6900,NYM@ATL 04/21/2018 07:10PM ET,NYM,15.01
,,,,,,,,,,,SP,Sean Newcomb (10577105),Sean Newcomb,10577105,P,6900,NYM@ATL 04/21/2018 07:10PM ET,ATL,17.24
,,,,,,,,,,,SP,Brent Suter (10576561),Brent Suter,10576561,P,6900,MIA@MIL 04/21/2018 07:10PM ET,MIL,8.07
,,,,,,,,,,,SP,Jason Vargas (10577107),Jason Vargas,10577107,P,6800,NYM@ATL 04/21/2018 07:10PM ET,NYM,0
,,,,,,,,,,,SP,Miguel Gonzalez (10577108),Miguel Gonzalez,10577108,P,6800,HOU@CWS 04/21/2018 07:10PM ET,CWS,-4.75
,,,,,,,,,,,SP,Felix Hernandez (10577109),Felix Hernandez,10577109,P,6800,SEA@TEX 04/21/2018 08:05PM ET,SEA,11.28
,,,,,,,,,,,SP,Dan Straily (10577106),Dan Straily,10577106,P,6800,MIA@MIL 04/21/2018 07:10PM ET,MIA,0
,,,,,,,,,,,SP,Dinelson Lamet (10577110),Dinelson Lamet,10577110,P,6700,SD@ARI 04/21/2018 08:10PM ET,SD,0
,,,,,,,,,,,SP,Shelby Miller (10577111),Shelby Miller,10577111,P,6700,SD@ARI 04/21/2018 08:10PM ET,ARI,0
,,,,,,,,,,,SP,Brandon McCarthy (10577112),Brandon McCarthy,10577112,P,6600,NYM@ATL 04/21/2018 07:10PM ET,ATL,16.49
